regime,currency,incoming_centrality,outgoing_concentration,mean_entropy,rank_incoming
normal,AUD,1.8693512678146362,0.18402409553527832,1.785239338874817,1
normal,SEK,1.6596275568008423,0.19104723632335663,1.785239338874817,2
normal,CHF,1.54828679561615,0.20064540207386017,1.785239338874817,3
normal,USD,1.369497537612915,0.19302161037921906,1.785239338874817,4
normal,CAD,1.2834404706954956,0.19367355108261108,1.785239338874817,5
normal,NOK,0.8223328590393066,0.2059246152639389,1.785239338874817,6
normal,JPY,0.653519332408905,0.199392169713974,1.785239338874817,7
normal,CNY,0.6043196320533752,0.1857653707265854,1.785239338874817,8
normal,NZD,0.5557719469070435,0.2371622920036316,1.785239338874817,9
normal,GBP,0.4351780116558075,0.19955946505069733,1.785239338874817,10
normal,EUR,0.1986743062734604,0.20008935034275055,1.785239338874817,11
VIX_top10,AUD,1.787578821182251,0.18538303673267365,1.7851554155349731,1
VIX_top10,SEK,1.5553138256072998,0.19232992827892303,1.7851554155349731,2
VIX_top10,CHF,1.4359899759292603,0.20077449083328247,1.7851554155349731,3
VIX_top10,USD,1.25565505027771,0.19694949686527252,1.7851554155349731,4
VIX_top10,CAD,1.204944133758545,0.19424626231193542,1.7851554155349731,5
VIX_top10,NOK,0.9374254941940308,0.20212462544441223,1.7851554155349731,6
VIX_top10,CNY,0.7506240010261536,0.18885111808776855,1.7851554155349731,7
VIX_top10,JPY,0.7408586144447327,0.1992281675338745,1.7851554155349731,8
VIX_top10,NZD,0.6678969264030457,0.23371757566928864,1.7851554155349731,9
VIX_top10,GBP,0.4667501747608185,0.19694900512695312,1.7851554155349731,10
VIX_top10,EUR,0.19696253538131714,0.19977967441082,1.7851554155349731,11
US2Y_shock_top10,AUD,1.8754374980926514,0.18396085500717163,1.7852262258529663,1
US2Y_shock_top10,SEK,1.6329413652420044,0.19102540612220764,1.7852262258529663,2
US2Y_shock_top10,CHF,1.5320388078689575,0.2001933753490448,1.7852262258529663,3
US2Y_shock_top10,USD,1.3645544052124023,0.19341649115085602,1.7852262258529663,4
US2Y_shock_top10,CAD,1.2965104579925537,0.19376780092716217,1.7852262258529663,5
US2Y_shock_top10,NOK,0.838365912437439,0.20554210245609283,1.7852262258529663,6
US2Y_shock_top10,JPY,0.6797876954078674,0.19972899556159973,1.7852262258529663,7
US2Y_shock_top10,NZD,0.6160358190536499,0.23746120929718018,1.7852262258529663,8
US2Y_shock_top10,CNY,0.5153539180755615,0.18599633872509003,1.7852262258529663,9
US2Y_shock_top10,GBP,0.4440481960773468,0.19929809868335724,1.7852262258529663,10
US2Y_shock_top10,EUR,0.2049257755279541,0.19987665116786957,1.7852262258529663,11
Oil_shock_top10,AUD,1.8474961519241333,0.18496911227703094,1.7844266891479492,1
Oil_shock_top10,SEK,1.5839067697525024,0.19238336384296417,1.7844266891479492,2
Oil_shock_top10,CHF,1.5366401672363281,0.2015262395143509,1.7844266891479492,3
Oil_shock_top10,USD,1.340462327003479,0.19469568133354187,1.7844266891479492,4
Oil_shock_top10,CAD,1.2804967164993286,0.19542057812213898,1.7844266891479492,5
Oil_shock_top10,NOK,0.8071866631507874,0.2052885890007019,1.7844266891479492,6
Oil_shock_top10,JPY,0.7622334957122803,0.20087160170078278,1.7844266891479492,7
Oil_shock_top10,CNY,0.6193384528160095,0.18834304809570312,1.7844266891479492,8
Oil_shock_top10,NZD,0.6108278632164001,0.23535268008708954,1.7844266891479492,9
Oil_shock_top10,GBP,0.380935937166214,0.2005786895751953,1.7844266891479492,10
Oil_shock_top10,EUR,0.23047439754009247,0.2011997550725937,1.7844266891479492,11
composite_macro_shock_top10,AUD,1.8519079685211182,0.18529702723026276,1.7850123643875122,1
composite_macro_shock_top10,SEK,1.6220183372497559,0.19133752584457397,1.7850123643875122,2
composite_macro_shock_top10,CHF,1.5093247890472412,0.20067572593688965,1.7850123643875122,3
composite_macro_shock_top10,USD,1.2983684539794922,0.19471555948257446,1.7850123643875122,4
composite_macro_shock_top10,CAD,1.29025137424469,0.19585207104682922,1.7850123643875122,5
composite_macro_shock_top10,NOK,0.8708181977272034,0.20577067136764526,1.7850123643875122,6
composite_macro_shock_top10,JPY,0.6906307935714722,0.1989094763994217,1.7850123643875122,7
composite_macro_shock_top10,NZD,0.646077036857605,0.23632723093032837,1.7850123643875122,8
composite_macro_shock_top10,CNY,0.525823175907135,0.18634366989135742,1.7850123643875122,9
composite_macro_shock_top10,GBP,0.4657740592956543,0.20003309845924377,1.7850123643875122,10
composite_macro_shock_top10,EUR,0.22900566458702087,0.2008965164422989,1.7850123643875122,11
