model,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max
foundation_relational,core6,10,0.005438193989296754,2.674769027312228e-06,0.005435955710709095,0.005441156215965748,0.003925024687002103,1.4450681744279766e-06,0.00392371229827404,0.003926573321223259,0.4955270915929653,0.002624936735524097,0.4925282098200671,0.4974077462641049,0.5168242350310054,0.004464814731320074,0.5120463555962184,0.5208905154010369,0.5274390243902439,0.011905868408394337,0.5198170731707317,0.5411585365853658,0.498444647758463,0.007663698019830051,0.4910033546813053,0.506312900274474,0.009638565592876567,0.01812811983127339,-0.007979564216051454,0.028236902949562395,0.7720821290693819,0.2994388214726804,0.443230769471539,1.0290075130458598,1.2883163926250705,0.458892966550522,0.7642211032245689,1.6180090701857741,-0.07090598770203844,0.014743621833662218,-0.08107771154027432,-0.053997418377548456,0.21404681526958788,0.07692633318015318,0.12854645727202296,0.27765190551872365
gnn,core6,10,0.005440143868327141,5.306726780295302e-07,0.005439539905637503,0.005440535489469767,0.003923820797353983,4.250370431303655e-07,0.003923443611711264,0.00392428133636713,0.49390057944495275,0.004065962679467348,0.4906983836535529,0.4984751448612382,0.5123513266239708,0.0029092381866939188,0.5105215004574566,0.5157060079292467,0.5127032520325203,0.004959151752018118,0.5076219512195121,0.5175304878048781,0.49763139168445664,0.0017405627509057236,0.49594388533089356,0.4994205550472705,0.007980902526409447,0.008075010164751383,0.0008749520454084322,0.016762155684351725,0.33938114650891754,0.2695869789842368,0.031183389807799507,0.5313976501958045,0.543424329645254,0.4460528424690212,0.04520568597931849,0.905656485611964,-0.10340751103649382,0.005471684363072909,-0.10972168325679377,-0.10005612709210254,0.0921488051584068,0.07329215836685495,0.008934343757573515,0.14710727319470607
gru,core6,10,0.005443866675098737,3.136022459494289e-06,0.005440565757453442,0.00544680655002594,0.003926901922871669,7.383021225678996e-06,0.003920821938663721,0.003935117274522781,0.49491714953746063,0.010167860907051619,0.4852089051540104,0.5054894784995425,0.518450747179018,0.011624957946048129,0.5114364135407137,0.531869472400122,0.508130081300813,0.019792628763782866,0.49085365853658536,0.5297256097560976,0.495232286266138,0.002302750047334406,0.4927111924367185,0.4972247636474535,0.0018437323447019229,0.008553991982781334,-0.005998096274526438,0.010965615003717549,0.07204217440148446,0.04392869285933394,0.024923217698553775,0.1118676601226212,0.10726566158892185,0.059601196403028106,0.04056777038917088,0.155306308751311,-0.13069546790696526,0.019172556918599492,-0.14595405460568145,-0.10917486116522923,0.019522081051642697,0.011577026572544719,0.006903094137669541,0.029652362543856725
lstm,core6,10,0.005445087483773629,8.436081114589641e-06,0.00543860113248229,0.00545462453737855,0.003932370493809382,4.199618445942164e-06,0.0039289565756917,0.003937060013413429,0.48673376029277216,0.010703353492183798,0.476517230863068,0.49786520280573343,0.5089966453186947,0.014638609332113438,0.4943580359865813,0.5236352546508082,0.506859756097561,0.016006097560975614,0.4885670731707317,0.5182926829268293,0.4873233709464268,0.0055152839066596815,0.48392802683745045,0.4936870997255261,-0.015894835442000998,0.00913305341562555,-0.021879237862141927,-0.005382470640091054,0.05500050983193253,0.5691109769183672,-0.4874461029207696,0.6474730314350579,0.11377486230014117,0.926997517609483,-0.7556870453138095,1.0892011009583682,-0.13646265201289984,0.0880994620178545,-0.23253900217241608,-0.059467329061590135,0.017514957648624357,0.15907819912917207,-0.1328705926425755,0.18405330266978126
mlp,core6,10,0.005443848979969819,3.0990830733982647e-06,0.005440281704068184,0.005445878021419048,0.003930375135193269,1.2816403260770153e-06,0.003928897902369499,0.0039311908185482025,0.4861238182372674,0.004395710675632681,0.48215919487648673,0.4908508691674291,0.5028972247636475,0.003183991006072197,0.5007624275693809,0.5065568770966759,0.5165142276422764,0.027548196323213314,0.4969512195121951,0.5480182926829268,0.49110501169055604,0.002592313533446142,0.4885025922537359,0.4936870997255261,-0.008003661647856446,0.007944804233425735,-0.016627326082365123,-0.0009818067188518726,0.16488398029527082,0.4368692527976428,-0.30755226121200163,0.5542613068539528,0.3048470991557249,0.7206519925439944,-0.46165820370833116,0.9686198209367224,-0.14307261006130526,0.059075460674668165,-0.20576563102076761,-0.08844308224797715,0.04717550585337449,0.11980026541515079,-0.08122849385836162,0.15594670176506042
oursmain,core6,10,0.005461357533931732,6.450723726010026e-06,0.0054552736692130566,0.005468121264129877,0.003944714243213336,1.4091547525499467e-05,0.003934796899557114,0.003960844594985247,0.5117413845684661,0.00634053762924422,0.5044220799024093,0.5155535224153706,0.5240418826878113,0.008718829579095888,0.5144861238182372,0.5315645013723697,0.5241361788617886,0.019166340663152752,0.5091463414634146,0.5457317073170732,0.5108671342889092,0.001799415211684485,0.5090576395242452,0.512656297651723,0.04033888443715292,0.0047982676333422165,0.03518340881480926,0.04467422732676095,0.4863667022440514,0.5053851944641268,0.005596629182303644,1.0132116791150967,0.698633511808152,0.7404484202118543,0.007509304245646002,1.4801134522112327,-0.12703286107474318,0.03757785666554799,-0.16350795852486044,-0.08844166989729274,0.13827899721460804,0.14297479940915508,0.0017057574150385335,0.2868937310850015
