model,universe,lookback,seed,rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,scenario,n_dates,n_currency_obs
oursmain,core6,10,42,0.005455273541022488,0.0039385009922074,0.5044220799024093,0.5144861238182372,0.5091463414634146,0.5108874656907594,0.041159017169888554,0.4402917962437086,0.6082777739290606,-0.163507965039571,0.12623750253874277,all_test,1093,6558
oursmain,core6,10,42,0.009986759485950866,0.008485539507595306,0.4915254237288136,0.4990583804143126,0.5117370892018779,0.49642184557438795,-0.009846650524616633,-1.6196372301454924,-2.331594945056035,-0.19468166781007312,-0.11254207092861179,high_fx_vol,177,1062
oursmain,core6,10,42,0.011733010007753873,0.00937878819763963,0.5020576131687243,0.522633744855967,0.5510204081632653,0.5004115226337449,-0.0010582010582010578,-1.5690387418222669,-2.446716086485431,-0.13468023266250384,-0.0660458760939946,large_abs_move,81,486
oursmain,core6,10,42,0.009904919966310212,0.007363995229032601,0.5516666666666666,0.5566666666666666,0.5583333333333333,0.5026666666666667,0.014857142857142855,-1.1978927034543576,-2.1801594214403592,-0.16934401219987194,-0.0664347655911115,cross_section_dispersion,100,600
oursmain,core6,10,42,0.0061784488051383046,0.004328367929991163,0.522075055187638,0.5463576158940397,0.5399449035812672,0.5061810154525387,0.04008227977485115,0.18327254320694897,0.25960156967518744,-0.11598177989526448,0.0168565877202127,risk_off,302,1812
oursmain,core6,10,42,0.006080851539192483,0.00442536119223723,0.4989451476793249,0.5158227848101266,0.5052631578947369,0.4940928270042194,0.002102375489614153,-0.23727658142200214,-0.3652328174054899,-0.11278515718367998,-0.022005062719927082,dollar_shock,316,1896
oursmain,core6,10,42,0.005926923323690201,0.004245237024193572,0.5041782729805014,0.5088207985143919,0.494199535962877,0.508263695450325,0.03032232391563868,-0.06165700299361696,-0.08591176681026018,-0.1282471974627697,-0.006384197590705298,commodity_shock,359,2154
oursmain,core6,10,42,0.006304490300589803,0.004450946718027359,0.5238095238095238,0.5277777777777778,0.49504950495049505,0.5156084656084656,0.04394360268650294,0.3559877841691309,0.4631639182803481,-0.11623271544885938,0.028718645113031016,yield_shock,252,1512
oursmain,core6,10,42,0.006362340400597321,0.004386249439750121,0.5390295358649789,0.5548523206751055,0.5736842105263158,0.5063291139240507,0.03479519426854325,0.9474006856548938,1.3069628922333472,-0.1008077248088739,0.05129783310167113,vix_spike,158,948
oursmain,core6,10,42,0.005747764621949404,0.0041357684985830956,0.5031746031746032,0.5138321995464853,0.4943310657596372,0.5103854875283447,0.040994463583866124,0.45117503849998813,0.6308550035953467,-0.14751322765641817,0.09339299320686223,macro_shock_union,735,4410
oursmain,core6,10,42,0.006010108735509256,0.00437312788874082,0.5029799914857386,0.5104299702000852,0.5042553191489362,0.5094934014474244,0.03716776411950213,0.2761255678327422,0.38780154739241446,-0.1460702361900985,0.06124846309808163,extreme_union,783,4698
foundation_relational,core6,10,42,0.005441156305556014,0.003926573353807071,0.4925282098200671,0.5175358340957609,0.5198170731707317,0.49801768831960963,0.00865835804511876,0.8440081200410313,1.4827190277304612,-0.08107770901096956,0.23594208695271845,all_test,1093,6558
foundation_relational,core6,10,42,0.009957773636538504,0.008437707339718537,0.5094161958568738,0.5028248587570622,0.49295774647887325,0.4971751412429379,-0.009846650524616625,0.9913622860929446,2.0507991999370323,-0.05400694828495034,0.06528156646163552,high_fx_vol,177,1062
foundation_relational,core6,10,42,0.011698514379289818,0.0093101611010404,0.5061728395061729,0.4773662551440329,0.3979591836734694,0.4839506172839506,-0.03492063492063493,0.5253383590434919,1.0637563149049283,-0.04338512758840807,0.020553940023091855,large_abs_move,81,486
foundation_relational,core6,10,42,0.009917491899058188,0.007372678095319619,0.5183333333333333,0.5333333333333333,0.5166666666666667,0.5306666666666666,0.08800000000000002,2.8903831248728107,6.117725652799111,-0.04441358347685309,0.15061664710992773,cross_section_dispersion,100,600
foundation_relational,core6,10,42,0.00611218528221648,0.004277914704856718,0.5518763796909493,0.5894039735099338,0.6088154269972452,0.5033112582781457,0.018763510196766645,1.7605734772255244,3.5122586583029047,-0.06376157535214588,0.15595875869576048,risk_off,302,1812
foundation_relational,core6,10,42,0.006057550478505288,0.004398082492020435,0.505801687763713,0.5210970464135021,0.5236842105263158,0.509915611814346,0.04170454547153098,2.1536171675024685,4.306373098882717,-0.028929345387041394,0.18804600308703812,dollar_shock,316,1896
foundation_relational,core6,10,42,0.005931253374972834,0.0042415782138408055,0.48885793871866295,0.48653667595171773,0.46403712296983757,0.49229340761374185,-0.002559900627927704,1.0421259180198261,2.051276097269335,-0.053653306618798524,0.10174472482822239,commodity_shock,359,2154
foundation_relational,core6,10,42,0.0062993902338297795,0.004429214780576973,0.5059523809523809,0.5145502645502645,0.49504950495049505,0.5142857142857142,0.03519471930896194,2.5364217631749018,5.31685636266325,-0.04140447237750777,0.2011520590924647,yield_shock,252,1512
foundation_relational,core6,10,42,0.006356409074056973,0.004364677316358645,0.5221518987341772,0.5232067510548524,0.5263157894736842,0.5059071729957806,0.029008575823696953,2.248821608979042,4.617731772138846,-0.03047437436043765,0.1115058142881935,vix_spike,158,948
foundation_relational,core6,10,42,0.005733108772334534,0.00411907667046395,0.5018140589569161,0.5151927437641723,0.5272108843537415,0.4983219954648526,0.008341402359376327,1.1000206303031386,2.0688675446101037,-0.08135031600704679,0.21918019900226682,macro_shock_union,735,4410
foundation_relational,core6,10,42,0.0059949446659040544,0.00435652424441516,0.501702852277565,0.5155385270327799,0.5095744680851064,0.4955300127713921,0.0008970106073693097,0.7465226165767148,1.3407683120267935,-0.06916730973625818,0.16315080953540928,extreme_union,783,4698
