target_date,gross_return,turnover,transaction_cost,net_return,wealth,tc_bps,model,universe,lookback,seed
2021-10-11,0.0018810552137438208,1.0,0.0,0.0018810552137438208,1.0018810552137438,0.0,oursmain,core6,10,42
2021-10-12,0.0003421172150410712,0.0,0.0,0.0003421172150410712,1.002223815970156,0.0,oursmain,core6,10,42
2021-10-13,0.005148288493728614,0.0,0.0,0.005148288493728614,1.007383553310056,0.0,oursmain,core6,10,42
2021-10-14,0.0051101762110192794,0.0,0.0,0.0051101762110192794,1.012531460779553,0.0,oursmain,core6,10,42
2021-10-15,-0.001153901030193083,0.5,0.0,-0.001153901030193083,1.0113630996838565,0.0,oursmain,core6,10,42
2021-10-18,0.0037742196291219443,0.5,0.0,0.0037742196291219443,1.015180206146853,0.0,oursmain,core6,10,42
2021-10-19,-0.0006745231803506613,0.0,0.0,-0.0006745231803506613,1.0144954435655738,0.0,oursmain,core6,10,42
2021-10-20,-0.005747412156779319,0.0,0.0,-0.005747412156779319,1.0086647201202277,0.0,oursmain,core6,10,42
2021-10-21,-0.0027398710371926427,0.0,0.0,-0.0027398710371926427,1.0059011088673322,0.0,oursmain,core6,10,42
2021-10-22,0.002012043376453221,0.0,0.0,0.002012043376453221,1.0079250255307957,0.0,oursmain,core6,10,42
2021-10-25,0.0012593427818501368,0.0,0.0,0.0012593427818501368,1.009194348636344,0.0,oursmain,core6,10,42
2021-10-26,-0.0030115758418105543,0.0,0.0,-0.0030115758418105543,1.0061550833162989,0.0,oursmain,core6,10,42
2021-10-27,-0.0008155228570103645,0.0,0.0,-0.0008155228570103645,1.0053345408481573,0.0,oursmain,core6,10,42
2021-10-28,0.0012925044866278768,0.5,0.0,0.0012925044866278768,1.0066339402527655,0.0,oursmain,core6,10,42
2021-10-29,-0.0023881398665253073,0.0,0.0,-0.0023881398665253073,1.0042299576090505,0.0,oursmain,core6,10,42
2021-11-01,-0.0060883741825819016,0.0,0.0,-0.0060883741825819016,0.9981158298617683,0.0,oursmain,core6,10,42
2021-11-02,0.00019371665985090658,0.5,0.0,0.00019371665985090658,0.9983091815264734,0.0,oursmain,core6,10,42
2021-11-03,-0.0032516407081857324,0.0,0.0,-0.0032516407081857324,0.9950630387524664,0.0,oursmain,core6,10,42
2021-11-04,-0.0017632249609960127,0.0,0.0,-0.0017632249609960127,0.9933085187647734,0.0,oursmain,core6,10,42
2021-11-05,-0.00019245644216425717,0.0,0.0,-0.00019245644216425717,0.9931173501412806,0.0,oursmain,core6,10,42
2021-11-08,-0.005491426010848954,0.0,0.0,-0.005491426010848954,0.9876637196928894,0.0,oursmain,core6,10,42
2021-11-09,0.005634542612824589,0.5,0.0,0.005634542612824589,0.9932287530086398,0.0,oursmain,core6,10,42
2021-11-10,-0.001619052025489509,0.0,0.0,-0.001619052025489509,0.9916206639843067,0.0,oursmain,core6,10,42
2021-11-11,-0.0030295092437881976,0.5,0.0,-0.0030295092437881976,0.9886165400164348,0.0,oursmain,core6,10,42
2021-11-12,-0.0010628649906720966,0.5,0.0,-0.0010628649906720966,0.987565774106852,0.0,oursmain,core6,10,42
2021-11-15,-0.0012910417281091213,0.0,0.0,-0.0012910417281091213,0.9862907854832277,0.0,oursmain,core6,10,42
