tc_bps,model,universe,lookback,n_dates_mean,n_dates_std,n_dates_min,n_dates_max,avg_turnover_mean,avg_turnover_std,avg_turnover_min,avg_turnover_max,gross_cumulative_return_mean,gross_cumulative_return_std,gross_cumulative_return_min,gross_cumulative_return_max,net_cumulative_return_mean,net_cumulative_return_std,net_cumulative_return_min,net_cumulative_return_max,cagr_mean,cagr_std,cagr_min,cagr_max,annualized_vol_mean,annualized_vol_std,annualized_vol_min,annualized_vol_max,sharpe_mean,sharpe_std,sharpe_min,sharpe_max,sortino_mean,sortino_std,sortino_min,sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,avg_gross_return_mean,avg_gross_return_std,avg_gross_return_min,avg_gross_return_max,avg_net_return_mean,avg_net_return_std,avg_net_return_min,avg_net_return_max
0.0,foundation_relational,core6,10,1093.0,0.0,1093,1093,0.21790179932906373,0.01767188034177801,0.19945105215004574,0.23467520585544374,0.22998566950336138,0.09384729911765441,0.1262413084526144,0.3089714299160844,0.22998566950336138,0.09384729911765441,0.1262413084526144,0.3089714299160844,0.04851537710124054,0.01867762582034444,0.027789199060896053,0.06404304395166704,0.06450984900204042,0.0023287707772885295,0.06221032834996415,0.06686680728664172,0.7720821496219513,0.29943880971862563,0.44323080361837114,1.0290075249985735,1.2883164238519165,0.45889293723828545,0.7642211671206983,1.6180090760630375,-0.06906212477728753,0.014086209842958011,-0.07859105432562663,-0.05288184054120726,0.49618786215309546,0.02038292749192675,0.4830741079597438,0.5196706312900274,0.00019583423716837598,7.038090612224729e-05,0.00011760884416290859,0.0002540273650981952,0.00019583423716837598,7.038090612224729e-05,0.00011760884416290859,0.0002540273650981952
0.0,gnn,core6,10,1093.0,0.0,1093,1093,0.5147910948459896,0.05922663774531369,0.4478499542543458,0.560384263494968,0.08889704973802585,0.07882464141221023,-0.0005252064108458576,0.14830746938374872,0.08889704973802585,0.07882464141221023,-0.0005252064108458576,0.14830746938374872,0.01950627901488285,0.017274156536536526,-0.00012111506550049889,0.03239739953239562,0.06360635359690105,0.0025674309915383396,0.060936330884013686,0.06605713192310622,0.33938116190806866,0.2695869754882387,0.031183406849800425,0.5313976499325777,0.5434243525832133,0.4460528347801669,0.04520571065449262,0.905656483101831,-0.10033550780372287,0.004537983970799492,-0.10553601736335338,-0.0971790842011776,0.4992375724306191,0.0036975772043251263,0.4958828911253431,0.5032021957913998,8.430815092914148e-05,6.705595307338187e-05,8.174152460671273e-06,0.00013459036815086347,8.430815092914148e-05,6.705595307338187e-05,8.174152460671273e-06,0.00013459036815086347
0.0,gru,core6,10,1093.0,0.0,1093,1093,0.5452881976212259,0.12394539972222622,0.41216834400731933,0.6573650503202195,0.011034574780081371,0.012001513185560116,-0.0019154503885951968,0.021782637193424215,0.011034574780081371,0.012001513185560116,-0.0019154503885951968,0.021782637193424215,0.002525010342832109,0.00274720755588785,-0.00044194840243849676,0.004980609156700844,0.0629792250020384,0.0016168992363550824,0.061113214119647624,0.06396576249554878,0.07204216816566994,0.04392868869758142,0.024923207141578873,0.11186763541989185,0.10726565288709833,0.05960119628846917,0.0405677529569845,0.1553062742240932,-0.1263960431992253,0.017688848494584852,-0.1399537375632467,-0.10638703903729885,0.49588289112534306,0.014084907885032596,0.48032936870997256,0.5077767612076852,1.7861005863834453e-05,1.0591972358122331e-05,6.315728443605072e-06,2.712932839870844e-05,1.7861005863834453e-05,1.0591972358122331e-05,6.315728443605072e-06,2.712932839870844e-05
0.0,lstm,core6,10,1093.0,0.0,1093,1093,0.4829216224458676,0.010524814837900198,0.4725526075022873,0.49359560841720035,0.017272553468808,0.16281323238865192,-0.13189097492599633,0.19095441851606032,0.017272553468808,0.16281323238865192,-0.13189097492599633,0.19095441851606032,0.00245164309997233,0.036772888319540675,-0.032083705993314005,0.04111388617732081,0.06383944645733519,0.0014790885422393575,0.06284672472896953,0.06553937725854153,0.05500050392449405,0.5691109678741604,-0.48744610785912423,0.6474730102480211,0.1137748461809307,0.9269974881862467,-0.755687049047015,1.0892010431392845,-0.12852360797169896,0.07760927219460649,-0.21179259857849886,-0.05820278259507383,0.47788960048795365,0.006490941339979489,0.47209515096065874,0.484903934126258,1.6024662358599718e-05,0.00014554272349500517,-0.00012156504508265861,0.00016839276937844676,1.6024662358599718e-05,0.00014554272349500517,-0.00012156504508265861,0.00016839276937844676
0.0,mlp,core6,10,1093.0,0.0,1093,1093,0.8629155230253126,0.028602315553994166,0.8366880146386093,0.8934126258005489,0.044324394623207995,0.12256193951825993,-0.08539944412785716,0.15817838747234791,0.044324394623207995,0.12256193951825993,-0.08539944412785716,0.15817838747234791,0.009211174148458401,0.027662433677488614,-0.020371075917995807,0.03443676599680279,0.06262901155037642,0.0020357259867829765,0.06089334795076187,0.06486971777816075,0.16488400320816798,0.43686924164870566,-0.30755222904994467,0.5542613147387221,0.3048471322594882,0.7206519747890767,-0.46165815833723295,0.9686198274345432,-0.13529407335407637,0.05259309355586465,-0.19063484687871035,-0.08596537227491308,0.48429399207075324,0.0046049615341694035,0.4794144556267155,0.4885635864592864,4.3161492945696614e-05,0.0001096068268738658,-7.431700355782022e-05,0.00014267767881925882,4.3161492945696614e-05,0.0001096068268738658,-7.431700355782022e-05,0.00014267767881925882
0.0,oursmain,core6,10,1093.0,0.0,1093,1093,0.19472400121988412,0.04068106609318115,0.1505032021957914,0.23055809698078683,0.14495399973623557,0.16549340610559843,-0.008971266696830349,0.31998970127208226,0.14495399973623557,0.16549340610559843,-0.008971266696830349,0.31998970127208226,0.0304367065074741,0.034197637016189684,-0.0020755751285256308,0.06610140303184076,0.06721914251600704,0.002673971835243717,0.06528317273959862,0.07027018792764822,0.4863666774912853,0.5053852051015388,0.005596580870326106,1.0132116552540875,0.6986334698470952,0.7404484211504552,0.007509239361728536,1.4801133960486899,-0.12271406986634681,0.03368188513921553,-0.15317743325423794,-0.0865430232141634,0.5248551387618177,0.008301712466493553,0.5160109789569991,0.5324794144556267,0.00012651325747907024,0.00013080951861298197,1.5606063075797477e-06,0.000262482823459235,0.00012651325747907024,0.00013080951861298197,1.5606063075797477e-06,0.000262482823459235
2.0,foundation_relational,core6,10,1093.0,0.0,1093,1093,0.21790179932906373,0.01767188034177801,0.19945105215004574,0.23467520585544374,0.22998566950336138,0.09384729911765441,0.1262413084526144,0.3089714299160844,0.17293093003010865,0.0921681757656234,0.06993269567519156,0.24763555116223346,0.03707277262720954,0.019061553368936845,0.01570682189802164,0.05233449551872216,0.06450278663114538,0.0023147903559162793,0.06221709962014962,0.06684562203564381,0.6018562692295413,0.301689948439089,0.2664317843349856,0.8510217877870939,1.0002943344194406,0.47357180710823543,0.45851341473434154,1.335413547843512,-0.07281500032344639,0.01640837019295948,-0.08428787822248174,-0.05402044447582388,0.48947849954254347,0.01994006836020439,0.4757548032936871,0.5123513266239708,0.00019583423716837598,7.038090612224729e-05,0.00011760884416290859,0.0002540273650981952,0.00015225387730256329,7.268277055895062e-05,7.06738029918199e-05,0.00021011153710185493
2.0,gnn,core6,10,1093.0,0.0,1093,1093,0.5147910948459896,0.05922663774531369,0.4478499542543458,0.560384263494968,0.08889704973802585,0.07882464141221023,-0.0005252064108458576,0.14830746938374872,-0.02646246018235506,0.08071357567714621,-0.11578290874119124,0.04124281563804755,-0.006576744019085072,0.01925579220154426,-0.027972117269444707,0.009361556684368333,0.06362887173128404,0.0025627944426565687,0.06100404935740351,0.06612477182163384,-0.06863915514681225,0.2953545762475916,-0.39597082513471676,0.17794114829259017,-0.08439227762042828,0.446125256074857,-0.5728197744575525,0.3016194939081986,-0.1458881438090287,0.021082540725819065,-0.1702321630311503,-0.13370779510028197,0.4879536444037817,0.0019045434578830323,0.48581884720951507,0.48947849954254347,8.430815092914148e-05,6.705595307338187e-05,8.174152460671273e-06,0.00013459036815086347,-1.8650068040056427e-05,7.677150414091188e-05,-0.00010390270023832229,4.502037729999433e-05
2.0,gru,core6,10,1093.0,0.0,1093,1093,0.5452881976212259,0.12394539972222622,0.41216834400731933,0.6573650503202195,0.011034574780081371,0.012001513185560116,-0.0019154503885951968,0.021782637193424215,-0.10250703990505987,0.017843511929393176,-0.12239690195449116,-0.08790529036172645,-0.02464946355218023,0.004485251911572547,-0.029653309821345397,-0.020990550099493577,0.06299172558914352,0.001568919240602028,0.06118219981059089,0.06397211867144056,-0.36463769365803583,0.06953413509686894,-0.4385728190657629,-0.30055567232270824,-0.5560103184727431,0.11688098345750342,-0.6909563133450728,-0.4867075273512023,-0.17993832482516012,0.01955979640300116,-0.19811769939648227,-0.15924181237180002,0.48429399207075324,0.011439462844471516,0.4730100640439158,0.4958828911253431,1.7861005863834453e-05,1.0591972358122331e-05,6.315728443605072e-06,2.712932839870844e-05,-9.119663366041074e-05,1.81455720089197e-05,-0.00011133504931485402,-7.611794035785878e-05
2.0,lstm,core6,10,1093.0,0.0,1093,1093,0.4829216224458676,0.010524814837900198,0.4725526075022873,0.49359560841720035,0.017272553468808,0.16281323238865192,-0.13189097492599633,0.19095441851606032,-0.08478185219889815,0.1450160547239717,-0.2188188950744745,0.06915737724672977,-0.02166028854523668,0.03557152557542613,-0.05534540157265411,0.015537078260164261,0.06382252239733453,0.0014810771509445523,0.06281265575015983,0.06552274503453727,-0.32642235848092915,0.5728379250188105,-0.874955372224699,0.26796434138842856,-0.4935318956757559,0.9019290195417103,-1.3478440238131857,0.44946236693921127,-0.16605705048616573,0.09537147400670092,-0.25904275842432967,-0.06846662667624215,0.46782555657212566,0.0062276846162434086,0.46294602012808783,0.47483989021043,1.6024662358599718e-05,0.00014554272349500517,-0.00012156504508265861,0.00016839276937844676,-8.055966213057376e-05,0.00014430107608734218,-0.0002180883753662816,6.967364769500675e-05
