factor,corr_with_rolling_D_F,slope,intercept,n_obs
ShockScore,0.25673884708095895,0.03366810682397493,0.6264466802462503,1104
VIX,0.5829902608537233,0.0066588305146761655,0.5280986719515366,1104
Delta_US2Y_abs,0.1664590161137878,0.20466174576478835,0.6461067364848732,1104
Oil_return_abs,0.2326400158471584,0.9587913263030994,0.6402071549071642,1104
