date,rolling_D_F,is_stress,is_high_change
2022-05-13,0.7976062208414078,True,True
2022-05-16,0.7957561045885087,False,True
2022-09-27,0.7929449826478958,True,True
2022-05-12,0.7912111431360245,True,True
2022-05-11,0.7902513206005096,True,True
2022-05-10,0.7900772988796234,True,True
2022-05-20,0.7897041767835618,True,True
2022-05-17,0.7890294849872589,True,True
2022-05-18,0.7887134313583374,True,True
2022-10-03,0.7867788717150688,True,True
2022-05-19,0.7854367882013321,True,True
2022-10-10,0.7841198280453682,True,True
2022-10-04,0.7803902670741081,True,True
2022-10-11,0.7793670818209648,True,True
2022-10-07,0.7790756568312645,True,True
2022-05-26,0.778509333729744,False,True
2022-09-19,0.7784464165568352,True,True
2022-09-20,0.7768272295594215,False,True
2022-08-26,0.7750331684947014,False,True
2022-10-01,0.7743238493800163,True,True
2025-04-25,0.7734977178275585,False,True
2025-04-24,0.7714050345122814,False,True
2022-10-12,0.7707726165652276,True,True
2022-05-04,0.7706410601735115,True,True
2022-09-28,0.7701262846589089,True,True
2022-05-23,0.7695820987224579,False,True
2022-09-29,0.7688280746340752,True,True
2022-05-09,0.7683624878525734,True,True
2022-05-24,0.7682778805494308,True,True
2025-04-22,0.7678648225963116,True,True
2025-04-18,0.7670047961175441,True,True
2022-09-30,0.7665461167693138,True,True
2025-04-21,0.7654676966369152,True,True
2022-05-02,0.7645642682909966,True,True
2025-04-23,0.7644176952540874,False,True
2022-10-05,0.7643777534365654,False,True
2022-05-03,0.763813941180706,True,True
2022-05-27,0.7637560456991196,False,True
2022-05-05,0.763271726667881,True,True
2025-04-17,0.7625229530036449,True,True
2022-05-06,0.7616430416703224,True,True
2022-08-29,0.7593584135174751,True,True
2022-03-11,0.7593371421098709,True,True
2022-09-16,0.7585416212677956,False,True
2022-10-06,0.7574789598584175,True,True
2022-03-10,0.7569314748048782,True,True
2022-05-25,0.7560708075761795,False,True
2022-10-13,0.7560035303235054,True,True
2025-04-11,0.7553236365318299,True,True
2022-09-21,0.7545796141028405,False,True
