regime,D_F_stress_over_normal,Turnover_stress_over_normal,Entropy_minus_normal
VIX_top10,1.1635620805396416,1.3411994506947458,-8.376347282190721e-05
US2Y_shock_top10,1.0276993567679833,1.03601646707754,-1.2932639489759978e-05
Oil_shock_top10,1.0735660871786727,1.1318287191107737,-0.000812490371358221
composite_macro_shock_top10,1.0723873145137146,1.1088135344899135,-0.00022687185372705088
