date,D_F,VIX,Delta_US2Y_abs,Oil_return_abs,ShockScore,is_large_update,is_stress_day,rolling_update_ratio_20d,rolling_stress_ratio_20d
2021-10-13,0.0,18.63999938964844,0.020000000000000018,0.002483201499114074,1.2341607686493248,0,0,0.0,0.0
2021-10-14,0.4293774366378784,16.860000610351562,0.010000000000000009,0.010757384938741232,0.8597690012954933,0,0,0.0,0.0
2021-10-15,0.6116697192192078,16.299999237060547,0.04999999999999999,0.011859069754950546,1.060507762393537,0,0,0.0,0.0
2021-10-18,0.7216931581497192,16.309999465942383,0.030000000000000027,0.0019427356878063406,0.2420828830860636,0,0,0.0,0.0
2021-10-19,0.4258318543434143,15.699999809265137,0.030000000000000027,0.006287767248904785,0.6008712529540917,0,0,0.0,0.0
2021-10-20,0.42493030428886414,15.489999771118164,0.009999999999999953,0.010909460858902875,0.3814065060632132,0,0,0.0,0.0
2021-10-21,0.5622626543045044,15.010000228881836,0.04999999999999999,0.01646972040377115,0.8194300104483,0,0,0.0,0.0
2021-10-22,0.7280667424201965,15.43000030517578,0.02999999999999997,0.01515729872583016,0.573226319788259,0,0,0.0,0.0
2021-10-25,0.7124700546264648,15.239999771118164,0.010000000000000009,0.0,0.4286214444863317,0,0,0.0,0.0
2021-10-26,0.8077433705329895,15.979999542236328,0.0,0.010569534538419134,0.49170670318496207,0,0,0.0,0.0
2021-10-27,0.6459863781929016,16.979999542236328,0.030000000000000027,0.02378927321801605,1.0774521706078497,0,0,0.0,0.0
2021-10-28,0.8539453148841858,16.530000686645508,0.0,0.0018129441767182897,0.5383025769028995,0,0,0.0,0.0
2021-10-29,0.803286612033844,16.260000228881836,0.020000000000000018,0.009135802798019732,0.5668062430641727,0,0,0.0,0.0
2021-11-01,0.8905503153800964,16.40999984741211,0.020000000000000018,0.00572729580185527,0.45828577254415376,1,0,0.07142857142857142,0.0
2021-11-02,0.5641937851905823,16.030000686645508,0.03999999999999998,0.0016670566381833396,0.6108599578253031,0,0,0.06666666666666667,0.0
2021-11-03,0.5772278308868408,15.100000381469728,0.009999999999999953,0.03702556776440247,0.9275812288312841,0,1,0.0625,0.0625
2021-11-04,0.5800332427024841,15.4399995803833,0.06,0.025679410373699696,0.9330720215321661,0,0,0.058823529411764705,0.058823529411764705
2021-11-05,0.8577163219451904,16.479999542236328,0.019999999999999962,0.030737042071998566,0.9233743604638198,1,0,0.1111111111111111,0.05555555555555555
2021-11-08,0.47702279686927795,17.219999313354492,0.06,0.008088324419384563,0.648340359455666,0,0,0.10526315789473684,0.05263157894736842
2021-11-09,0.6822524666786194,17.780000686645508,0.040000000000000036,0.02673571089110105,0.7198304982173737,0,0,0.1,0.05
2021-11-10,0.42686697840690613,18.729999542236328,0.10000000000000003,0.033963083312826825,1.4035945051011538,0,1,0.1,0.1
2021-11-11,0.682772159576416,17.65999984741211,0.0,0.0030688050995824057,0.8424946767110962,0,0,0.1,0.1
2021-11-12,0.8537553548812866,16.290000915527344,0.020000000000000018,0.009853453732612039,0.6054109697209339,0,0,0.1,0.1
2021-11-15,0.7101960182189941,16.489999771118164,0.0,0.0011133339296822697,0.3220212616988963,0,0,0.1,0.1
2021-11-16,0.7840645909309387,16.3700008392334,0.010000000000000009,0.0014847208572588144,0.3634961512193919,0,0,0.1,0.1
2021-11-17,0.5297099947929382,17.110000610351562,0.020000000000000018,0.030168219030816346,0.8310636517781266,0,0,0.1,0.1
2021-11-18,0.7293236255645752,17.59000015258789,0.0,0.008260852906700755,0.4290490737605731,0,0,0.1,0.1
2021-11-19,0.5803402662277222,17.90999984741211,0.0,0.0375262089554429,0.8389990390056834,0,1,0.1,0.15
2021-11-22,0.6206660270690918,19.170000076293945,0.10999999999999999,0.008505141650638315,1.2825611123828455,0,1,0.1,0.2
2021-11-23,0.7630025744438171,19.3799991607666,0.030000000000000027,0.02254523832105626,1.0445643042466863,0,0,0.1,0.2
2021-11-24,0.6934019327163696,18.57999992370605,0.040000000000000036,0.0014022643738220708,0.41214661839303246,0,0,0.1,0.2
2021-11-25,1.043215036392212,18.57999992370605,0.0,0.0,0.1023965368153395,1,0,0.15,0.2
2021-11-26,0.6394708156585693,28.6200008392334,0.14,0.139985179881994,3.2919784319362173,0,1,0.15,0.25
2021-11-29,0.5108470320701599,22.959999084472656,0.010000000000000009,0.026069476951239068,1.1334781219894483,0,0,0.1,0.25
2021-11-30,0.7285590767860413,27.190000534057617,0.010000000000000009,0.05540235037902086,1.4869680134441705,0,1,0.1,0.3
2021-12-01,0.7476843595504761,31.1200008392334,0.040000000000000036,0.00926003748343529,0.8517621214958138,0,1,0.1,0.3
2021-12-02,0.6968482136726379,27.950000762939453,0.06999999999999995,0.014083678040478276,1.0061060346189867,0,1,0.1,0.35
2021-12-03,0.541578471660614,30.670000076293945,0.030000000000000027,0.0036155185499371356,1.0834621409962306,0,1,0.05,0.4
2021-12-06,0.6869478821754456,27.18000030517578,0.050000000000000044,0.04759639747281241,1.3234827159196028,0,1,0.05,0.45
2021-12-07,0.6050274968147278,21.88999938964844,0.04999999999999993,0.03617753821695757,1.2422550064189979,0,1,0.05,0.5
2021-12-08,0.7470893859863281,19.89999961853028,0.019999999999999907,0.004293304160383649,0.7251076579581981,0,0,0.05,0.45
2021-12-09,0.4224797487258911,21.57999992370605,0.019999999999999907,0.019819185201463085,0.8030006371918427,0,0,0.05,0.45
2021-12-10,0.8535817861557007,18.690000534057617,0.029999999999999916,0.010237740696854125,0.6906329282869214,0,0,0.05,0.45
2021-12-13,0.5264833569526672,20.309999465942383,0.010000000000000009,0.005316146485581541,0.6399379569295692,0,0,0.05,0.45
2021-12-14,0.7748671770095825,21.88999938964844,0.010000000000000009,0.007886219462695188,0.6104800958196028,0,0,0.05,0.45
2021-12-15,0.4829743206501007,19.290000915527344,0.019999999999999907,0.001977393068239408,0.7956388666866613,0,0,0.05,0.45
2021-12-16,0.810893714427948,20.56999969482422,0.04999999999999993,0.021082728611518498,1.217030813685764,0,0,0.05,0.45
2021-12-17,0.5150449275970459,21.56999969482422,0.020000000000000018,0.021223872138086186,0.6731489761560213,0,0,0.05,0.4
2021-12-20,0.01773579604923725,22.8700008392334,0.010000000000000009,0.03782170802322238,0.8357750852173929,0,1,0.05,0.4
2021-12-21,0.7842808961868286,21.01000022888184,0.04999999999999993,0.04148422979704236,1.2422125464708966,0,1,0.05,0.45
2021-12-22,0.5260956883430481,18.6299991607666,0.019999999999999907,0.022797753185247238,0.8688902831638684,0,0,0.05,0.45
2021-12-23,0.5302324891090393,17.959999084472656,0.029999999999999916,0.014056850467597748,0.5986971970666833,0,0,0.0,0.45
2021-12-24,0.615578293800354,17.959999084472656,0.0,0.0,0.08971908902705243,0,0,0.0,0.4
2021-12-27,0.5618665218353271,17.68000030517578,0.050000000000000044,0.02383614151683311,0.6876282919594061,0,0,0.0,0.4
2021-12-28,0.8787976503372192,17.540000915527344,0.020000000000000018,0.0054108169469753165,0.2561567997464834,1,0,0.05,0.35
2021-12-29,0.6018015146255493,16.950000762939453,0.010000000000000009,0.007604523314618028,0.4929091726919547,0,0,0.05,0.3
2021-12-30,0.4535060226917267,17.329999923706055,0.020000000000000018,0.005600800287199448,0.42471447058402917,0,0,0.05,0.25
2021-12-31,0.6431536078453064,17.219999313354492,0.0,0.023391326877737484,0.5127508378698565,0,0,0.05,0.2
2022-01-01,0.584075391292572,17.219999313354492,0.0,0.0,0.0,0,0,0.05,0.15
