date,D_F,D_MA,edge_turnover,graph_entropy,dynamic_intensity,VIX,Delta_US2Y_abs,Oil_return_abs,ShockScore,is_vix_stress,is_us2y_shock,is_oil_shock,is_composite_stress,is_normal
2021-10-13,0.0,0.0,0.0,1.7838817834854126,0.0,18.63999938964844,0.020000000000000018,0.002483201499114074,1.2341607686493248,False,False,False,False,True
2021-10-14,0.4293774366378784,0.011828649789094925,0.16666666666666663,1.7855534553527832,0.6535166949093356,16.860000610351562,0.010000000000000009,0.010757384938741232,0.8597690012954933,False,False,False,False,True
2021-10-15,0.6116697192192078,0.02192877233028412,0.3076923076923077,1.7860140800476074,0.9309673475399253,16.299999237060547,0.04999999999999999,0.011859069754950546,1.060507762393537,False,False,False,False,True
2021-10-18,0.7216931581497192,0.029359381645917892,0.35,1.7862224578857422,1.0984241071112641,16.309999465942383,0.030000000000000027,0.0019427356878063406,0.2420828830860636,False,False,False,False,True
2021-10-19,0.4258318543434143,0.011654194444417953,0.21621621621621623,1.7853436470031738,0.6481202836755489,15.699999809265137,0.030000000000000027,0.006287767248904785,0.6008712529540917,False,False,False,False,True
2021-10-20,0.42493030428886414,0.01106327585875988,0.21621621621621623,1.785509467124939,0.6467481155976024,15.489999771118164,0.009999999999999953,0.010909460858902875,0.3814065060632132,False,False,False,False,True
2021-10-21,0.5622626543045044,0.01845608651638031,0.11428571428571432,1.7849726676940918,0.8557693072771372,15.010000228881836,0.04999999999999999,0.01646972040377115,0.8194300104483,False,False,False,False,True
2021-10-22,0.7280667424201965,0.0308259017765522,0.11428571428571432,1.7838915586471558,1.1081247652543265,15.43000030517578,0.02999999999999997,0.01515729872583016,0.573226319788259,False,False,False,False,True
2021-10-25,0.7124700546264648,0.03065352328121662,0.3076923076923077,1.7862952947616577,1.0843864525513969,15.239999771118164,0.010000000000000009,0.0,0.4286214444863317,False,False,False,False,True
2021-10-26,0.8077433705329895,0.03859022259712219,0.3076923076923077,1.7839686870574951,1.22939337935178,15.979999542236328,0.0,0.010569534538419134,0.49170670318496207,False,False,False,False,True
2021-10-27,0.6459863781929016,0.027866674587130547,0.3076923076923077,1.7814799547195435,0.9831976410747318,16.979999542236328,0.030000000000000027,0.02378927321801605,1.0774521706078497,False,False,False,False,True
2021-10-28,0.8539453148841858,0.0438416413962841,0.3076923076923077,1.7852287292480469,1.2997131944943796,16.530000686645508,0.0,0.0018129441767182897,0.5383025769028995,False,False,False,False,True
2021-10-29,0.803286612033844,0.036496926099061966,0.16666666666666663,1.7862144708633423,1.222610148944573,16.260000228881836,0.020000000000000018,0.009135802798019732,0.5668062430641727,False,False,False,False,True
2021-11-01,0.8905503153800964,0.04678432643413544,0.3902439024390244,1.7863022089004517,1.3554263664033568,16.40999984741211,0.020000000000000018,0.00572729580185527,0.45828577254415376,False,False,False,False,True
2021-11-02,0.5641937851905823,0.019987264648079872,0.26315789473684215,1.7855414152145386,0.8587085075387738,16.030000686645508,0.03999999999999998,0.0016670566381833396,0.6108599578253031,False,False,False,False,True
2021-11-03,0.5772278308868408,0.02010558545589447,0.26315789473684215,1.787272572517395,0.8785464536856737,15.100000381469728,0.009999999999999953,0.03702556776440247,0.9275812288312841,False,False,True,False,False
2021-11-04,0.5800332427024841,0.020210005342960358,0.3902439024390244,1.7868083715438843,0.882816318147986,15.4399995803833,0.06,0.025679410373699696,0.9330720215321661,False,False,False,False,True
2021-11-05,0.8577163219451904,0.043112050741910934,0.4285714285714286,1.785905361175537,1.3054527044469388,16.479999542236328,0.019999999999999962,0.030737042071998566,0.9233743604638198,False,False,False,False,True
2021-11-08,0.47702279686927795,0.014882165938615799,0.11428571428571432,1.7861201763153076,0.726033403262711,17.219999313354492,0.06,0.008088324419384563,0.648340359455666,False,False,False,False,True
2021-11-09,0.6822524666786194,0.02878434956073761,0.35,1.7845481634140015,1.038394985560404,17.780000686645508,0.040000000000000036,0.02673571089110105,0.7198304982173737,False,False,False,False,True
2021-11-10,0.42686697840690613,0.013078859075903893,0.26315789473684215,1.7872775793075562,0.6496957527129794,18.729999542236328,0.10000000000000003,0.033963083312826825,1.4035945051011538,False,True,False,False,False
2021-11-11,0.682772159576416,0.027770882472395897,0.35,1.7879021167755127,1.039185963278272,17.65999984741211,0.0,0.0030688050995824057,0.8424946767110962,False,False,False,False,True
2021-11-12,0.8537553548812866,0.04127777740359306,0.3902439024390244,1.7865195274353027,1.2994240734957736,16.290000915527344,0.020000000000000018,0.009853453732612039,0.6054109697209339,False,False,False,False,True
2021-11-15,0.7101960182189941,0.029162300750613213,0.21621621621621623,1.7863620519638062,1.0809253467030076,16.489999771118164,0.0,0.0011133339296822697,0.3220212616988963,False,False,False,False,True
2021-11-16,0.7840645909309387,0.035423532128334045,0.21621621621621623,1.7872154712677002,1.193354043176625,16.3700008392334,0.010000000000000009,0.0014847208572588144,0.3634961512193919,False,False,False,False,True
2021-11-17,0.5297099947929382,0.01693159155547619,0.21621621621621623,1.7858761548995972,0.8062238383277541,17.110000610351562,0.020000000000000018,0.030168219030816346,0.8310636517781266,False,False,False,False,True
2021-11-18,0.7293236255645752,0.030293786898255348,0.26315789473684215,1.7871689796447754,1.110037753800798,17.59000015258789,0.0,0.008260852906700755,0.4290490737605731,False,False,False,False,True
2021-11-19,0.5803402662277222,0.02033074013888836,0.21621621621621623,1.7860270738601685,0.8832836109825701,17.90999984741211,0.0,0.0375262089554429,0.8389990390056834,False,False,True,False,False
2021-11-22,0.6206660270690918,0.02533717267215252,0.4651162790697675,1.787195086479187,0.9446598168472994,19.170000076293945,0.10999999999999999,0.008505141650638315,1.2825611123828455,False,True,False,False,False
2021-11-23,0.7630025744438171,0.035467881709337234,0.3902439024390244,1.7869460582733154,1.1612974462800396,19.3799991607666,0.030000000000000027,0.02254523832105626,1.0445643042466863,False,False,False,False,True
2021-11-24,0.6934019327163696,0.02964676544070244,0.3902439024390244,1.7861453294754028,1.055364582873314,18.57999992370605,0.040000000000000036,0.0014022643738220708,0.41214661839303246,False,False,False,False,True
2021-11-25,1.043215036392212,0.06159156933426857,0.5652173913043479,1.7839068174362183,1.5877835780125804,18.57999992370605,0.0,0.0,0.1023965368153395,False,False,False,False,True
2021-11-26,0.6394708156585693,0.026447558775544167,0.5333333333333333,1.7833232879638672,0.9732808906132888,28.6200008392334,0.14,0.139985179881994,3.2919784319362173,False,True,True,True,False
2021-11-29,0.5108470320701599,0.01738039217889309,0.3076923076923077,1.7852143049240112,0.7775142229569203,22.959999084472656,0.010000000000000009,0.026069476951239068,1.1334781219894483,False,False,False,False,True
2021-11-30,0.7285590767860413,0.03350174054503441,0.26315789473684215,1.7837378978729248,1.1088741030166376,27.190000534057617,0.010000000000000009,0.05540235037902086,1.4869680134441705,False,False,True,False,False
2021-12-01,0.7476843595504761,0.03508825600147247,0.11428571428571432,1.778313398361206,1.1379829720789887,31.1200008392334,0.040000000000000036,0.00926003748343529,0.8517621214958138,True,False,False,False,False
2021-12-02,0.6968482136726379,0.02979348786175251,0.05882352941176472,1.7822498083114624,1.0606098564906348,27.950000762939453,0.06999999999999995,0.014083678040478276,1.0061060346189867,False,True,False,False,False
2021-12-03,0.541578471660614,0.02027842402458191,0.3902439024390244,1.7858996391296387,0.8242877772177539,30.670000076293945,0.030000000000000027,0.0036155185499371356,1.0834621409962306,True,False,False,False,False
2021-12-06,0.6869478821754456,0.028276894241571426,0.35,1.7833317518234253,1.0455414542727313,27.18000030517578,0.050000000000000044,0.04759639747281241,1.3234827159196028,False,False,True,False,False
2021-12-07,0.6050274968147278,0.02282029204070568,0.21621621621621623,1.7866663932800293,0.9208578195064591,21.88999938964844,0.04999999999999993,0.03617753821695757,1.2422550064189979,False,False,True,False,False
2021-12-08,0.7470893859863281,0.031687669456005096,0.11428571428571432,1.786097764968872,1.1370774164441957,19.89999961853028,0.019999999999999907,0.004293304160383649,0.7251076579581981,False,False,False,False,True
2021-12-09,0.4224797487258911,0.011936959810554981,0.16666666666666663,1.7845288515090942,0.6430183458529559,21.57999992370605,0.019999999999999907,0.019819185201463085,0.8030006371918427,False,False,False,False,True
2021-12-10,0.8535817861557007,0.04200576990842819,0.35,1.7836819887161255,1.2991599001829588,18.690000534057617,0.029999999999999916,0.010237740696854125,0.6906329282869214,False,False,False,False,True
2021-12-13,0.5264833569526672,0.017842626199126244,0.26315789473684215,1.785879135131836,0.801312863700036,20.309999465942383,0.010000000000000009,0.005316146485581541,0.6399379569295692,False,False,False,False,True
2021-12-14,0.7748671770095825,0.03509562090039253,0.16666666666666663,1.7865548133850098,1.179355488444307,21.88999938964844,0.010000000000000009,0.007886219462695188,0.6104800958196028,False,False,False,False,True
2021-12-15,0.4829743206501007,0.015238405205309391,0.11428571428571432,1.7844268083572388,0.7350916811763635,19.290000915527344,0.019999999999999907,0.001977393068239408,0.7956388666866613,False,False,False,False,True
2021-12-16,0.810893714427948,0.038339726626873016,0.4651162790697675,1.7832180261611938,1.2341882338419972,20.56999969482422,0.04999999999999993,0.021082728611518498,1.217030813685764,False,False,False,False,True
2021-12-17,0.5150449275970459,0.01715647056698799,0.21621621621621623,1.7852606773376465,0.7839034613663407,21.56999969482422,0.020000000000000018,0.021223872138086186,0.6731489761560213,False,False,False,False,True
2021-12-20,0.01773579604923725,0.0009579483885318041,0.11428571428571432,1.7860400676727295,0.02699405657279265,22.8700008392334,0.010000000000000009,0.03782170802322238,0.8357750852173929,False,False,True,False,False
2021-12-21,0.7842808961868286,0.0432928092777729,0.4285714285714286,1.7270008325576782,1.1936832619102118,21.01000022888184,0.04999999999999993,0.04148422979704236,1.2422125464708966,False,False,True,False,False
2021-12-22,0.5260956883430481,0.023809172213077545,0.11428571428571432,1.771477460861206,0.800722828251359,18.6299991607666,0.019999999999999907,0.022797753185247238,0.8688902831638684,False,False,False,False,True
2021-12-23,0.5302324891090393,0.023980196565389633,0.11428571428571432,1.7854713201522827,0.8070190798319212,17.959999084472656,0.029999999999999916,0.014056850467597748,0.5986971970666833,False,False,False,False,True
2021-12-24,0.615578293800354,0.02244638092815876,0.4651162790697675,1.7854312658309937,0.9369162366154161,17.959999084472656,0.0,0.0,0.08971908902705243,False,False,False,False,True
2021-12-27,0.5618665218353271,0.018734032288193703,0.21621621621621623,1.785682201385498,0.8551663897507061,17.68000030517578,0.050000000000000044,0.02383614151683311,0.6876282919594061,False,False,False,False,True
2021-12-28,0.8787976503372192,0.047954216599464417,0.653061224489796,1.784612774848938,1.3375386942533294,17.540000915527344,0.020000000000000018,0.0054108169469753165,0.2561567997464834,False,False,False,False,True
2021-12-29,0.6018015146255493,0.024270862340927124,0.21621621621621623,1.7886449098587036,0.9159478427861725,16.950000762939453,0.010000000000000009,0.007604523314618028,0.4929091726919547,False,False,False,False,True
2021-12-30,0.4535060226917267,0.015126188285648823,0.21621621621621623,1.7862743139266968,0.6902406409420307,17.329999923706055,0.020000000000000018,0.005600800287199448,0.42471447058402917,False,False,False,False,True
2021-12-31,0.6431536078453064,0.026556361466646194,0.35,1.7860641479492188,0.9788861366568626,17.219999313354492,0.0,0.023391326877737484,0.5127508378698565,False,False,False,False,True
2022-01-01,0.584075391292572,0.021395690739154816,0.35,1.7877720594406128,0.888968508182961,17.219999313354492,0.0,0.0,0.0,False,False,False,False,True
