rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,model,universe,lookback,seed,hidden,top_k,graph_rank,dropout,edge_dropout,spectral_bound,lr,weight_decay,lambda_dir,lambda_rank,lambda_smooth,lambda_static,lambda_sparse,lambda_spectral,small_return_quantile,trial_id
0.006301125977188349,0.004503491800278425,0.5005489478499543,0.509423604757548,0.4977127172918573,0.49584222832164276,0.0009527433003192951,-0.5295057576403092,-0.7458516263725066,-0.1874127992573449,-0.14521530572301344,oursmain,core6,10,42,48,2,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,oursmain_trial0001
0.00630035949870944,0.004502933006733656,0.5005489478499543,0.5096065873741995,0.4977127172918573,0.4957812341160923,0.0007928660872533575,-0.5521332263510348,-0.7784950357421245,-0.18769776219551204,-0.15136428639152655,oursmain,core6,10,42,48,3,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,oursmain_trial0002
