model,top_k,ref_top_k,rmse_improvement_pct_vs_ref,hit_ccy_delta_vs_ref,hit_pair_delta_vs_ref,sharpe_delta_vs_ref
Ours,2,6,0.06612106939571569,-0.0006340579710146788,0.00024154589371971902,0.4532605509327432
Ours,4,6,0.49560126851872544,0.004649758454106201,-0.0003513394817743487,0.14999073666213647
Ours,6,6,0.0,0.0,0.0,0.0
Ours,8,6,-0.2797883001997783,0.0016002415458935548,-0.0023166447079491226,0.14356670746638045
Ours,10,6,-0.2695143990971619,-0.000694444444444553,-0.000894817742643883,0.3332215980773192
