model,display_name,lookback,top_k,rmse_mean,rmse_std,mae_mean,mae_std,hit_ccy_mean,hit_ccy_std,hit_pair_mean,hit_pair_std,extreme_rmse_mean,extreme_rmse_std,extreme_hit_mean,extreme_hit_std,ic_mean,ic_std,sharpe_mean,sharpe_std
Ours,Ours,20,2,0.005082066636532545,2.4715628680325595e-05,0.0035311420603344836,2.9050010174582142e-05,0.6571859903381642,0.005392599985218102,0.6197683355292051,0.0033439177939856733,0.01180323368559281,0.0001492698339574525,0.8294082125603864,0.001383627927220933,0.3175460804963815,0.009185526856377942,11.734545279003816,0.3902448472513001
Ours,Ours,20,4,0.00506022572517395,2.9489493420826867e-05,0.003507386272152265,3.046677289130724e-05,0.662469806763285,0.0015273719649687668,0.619175450153711,0.0006822900779035048,0.01177561686684688,0.00012689449897396637,0.8318236714975845,0.005823460604464402,0.31252837578266507,0.0007088373207049249,11.43127546473321,0.04236060858427486
Ours,Ours,20,6,0.005085429176688194,1.4673336493543202e-05,0.003524373285472393,2.0011590735540375e-05,0.6578200483091788,0.00183036770123523,0.6195267896354854,0.001640661203319874,0.011810398971041044,7.388925717383978e-05,0.8266908212560388,0.0037711340570038806,0.3160495205700444,0.004076221367530224,11.281284728071073,0.2119862086359674
Ours,Ours,20,8,0.005099657612542312,2.820859865773746e-06,0.003540291062866648,1.0846307506189926e-05,0.6594202898550724,0.0005434782608695621,0.6172101449275362,0.0004156597320199331,0.011870655541618666,9.979158895520098e-05,0.8209541062801932,0.0029117303022321377,0.3084683810477516,0.0016611451514923913,11.424851435537454,0.2748715570400702
Ours,Ours,20,10,0.005099135140577952,2.2096799606098016e-05,0.003540473369260629,1.1305079848288796e-05,0.6571256038647343,0.0006552697588832143,0.6186319718928415,0.0019856178747237455,0.01184168333808581,0.00019764382737609472,0.8245772946859904,0.00318105487706902,0.3135469659147978,0.007299693959682931,11.614506326148392,0.06649803741816758
