model,universe,lookback,seed,tc_bps,n_dates,avg_turnover,gross_cumulative_return,net_cumulative_return,cagr,annualized_vol,sharpe,sortino,max_drawdown,hit_ratio,avg_gross_return,avg_net_return
oursmain,core6,10,42,0.0,1093,0.2301006404391583,-0.09542865245249976,-0.09542865245249976,-0.02285831409068173,0.06424660154297143,-0.32778172673114947,-0.46584249334614763,-0.19180105439573913,0.484903934126258,-8.356691266017185e-05,-8.356691266017185e-05
oursmain,core6,10,42,2.0,1093,0.2301006404391583,-0.09542865245249976,-0.13980744025200198,-0.0341259349565225,0.0642421283504521,-0.5083258464033603,-0.7222831247678214,-0.21152412746005644,0.48032936870997256,-8.356691266017185e-05,-0.00012958704074800346
oursmain,core6,10,42,5.0,1093,0.2301006404391583,-0.09542865245249976,-0.20233624848893317,-0.05078679124310803,0.0642620547541147,-0.778866204593193,-1.1064722442850006,-0.24553318346953412,0.47209515096065874,-8.356691266017185e-05,-0.00019861723287975107
mlp,core6,10,42,0.0,1093,0.9350411710887465,-0.036683825261504155,-0.036683825261504155,-0.0085797676265853,0.06207138310975248,-0.10780792576333309,-0.16141611394036703,-0.15238197861427638,0.484903934126258,-2.6554710564776198e-05,-2.6554710564776198e-05
mlp,core6,10,42,2.0,1093,0.9350411710887465,-0.036683825261504155,-0.21478156824826666,-0.05422200305155944,0.06204214673542014,-0.8674403597719412,-1.2905438836168603,-0.23779938017340463,0.4684354986276304,-2.6554710564776198e-05,-0.00021356294478252545
mlp,core6,10,42,5.0,1093,0.9350411710887465,-0.036683825261504155,-0.42219361075261264,-0.1187949250926652,0.062079139886656864,-2.00561694067973,-2.959275345710202,-0.42212563999498487,0.4409881061299177,-2.6554710564776198e-05,-0.0004940752961091497
