target_date,gross_return,turnover,transaction_cost,net_return,wealth,tc_bps,model,universe,lookback,seed
2021-10-11,0.004769150982610881,1.0,0.0,0.004769150982610881,1.0047691509826109,0.0,oursmain,core6,10,42
2021-10-12,-0.0008906727307476103,0.5,0.0,-0.0008906727307476103,1.0038742304991342,0.0,oursmain,core6,10,42
2021-10-13,0.0010333011650800472,0.5,0.0,0.0010333011650800472,1.0049115349111029,0.0,oursmain,core6,10,42
2021-10-14,0.005311471308232285,1.0,0.0,0.005311471308232285,1.0102490936960948,0.0,oursmain,core6,10,42
2021-10-15,-0.0004959720681654289,0.0,0.0,-0.0004959720681654289,1.009748038363732,0.0,oursmain,core6,10,42
2021-10-18,0.0038168403843883425,0.0,0.0,0.0038168403843883425,1.0136020854546157,0.0,oursmain,core6,10,42
2021-10-19,-0.0008842049865052104,0.0,0.0,-0.0008842049865052104,1.0127058534363247,0.0,oursmain,core6,10,42
2021-10-20,-0.005870526365470141,0.5,0.0,-0.005870526365470141,1.0067607370232607,0.0,oursmain,core6,10,42
2021-10-21,-0.0010726189939305186,0.0,0.0,-0.0010726189939305186,1.0056808663343861,0.0,oursmain,core6,10,42
2021-10-22,0.002012043376453221,0.5,0.0,0.002012043376453221,1.00770433986032,0.0,oursmain,core6,10,42
2021-10-25,0.0006171427085064352,0.5,0.0,0.0006171427085064352,1.0083262372459951,0.0,oursmain,core6,10,42
2021-10-26,-0.0017204310061060824,0.0,0.0,-0.0017204310061060824,1.006591481523167,0.0,oursmain,core6,10,42
2021-10-27,0.0003059445880353451,0.0,0.0,0.0003059445880353451,1.0068994427393014,0.0,oursmain,core6,10,42
2021-10-28,0.0012925044866278768,0.5,0.0,0.0012925044866278768,1.0082008647866252,0.0,oursmain,core6,10,42
2021-10-29,-0.0023881398665253073,0.0,0.0,-0.0023881398665253073,1.005793140107963,0.0,oursmain,core6,10,42
2021-11-01,-0.0060883741825819016,0.0,0.0,-0.0060883741825819016,0.9996694951207117,0.0,oursmain,core6,10,42
2021-11-02,-4.24577810917981e-05,0.0,0.0,-4.24577810917981e-05,0.9996270513721237,0.0,oursmain,core6,10,42
2021-11-03,-0.00510730838868767,0.0,0.0,-0.00510730838868767,0.9945216477470917,0.0,oursmain,core6,10,42
2021-11-04,-0.001568438698996033,0.0,0.0,-0.001568438698996033,0.9929618015077759,0.0,oursmain,core6,10,42
2021-11-05,0.0015038201527204365,0.0,0.0,0.0015038201527204365,0.9944550374757649,0.0,oursmain,core6,10,42
2021-11-08,-0.006732033740263432,0.0,0.0,-0.006732033740263432,0.9877603326103032,0.0,oursmain,core6,10,42
2021-11-09,0.005634542612824589,0.0,0.0,0.005634542612824589,0.9933259102956538,0.0,oursmain,core6,10,42
2021-11-10,-0.001619052025489509,0.0,0.0,-0.001619052025489509,0.9917176639686184,0.0,oursmain,core6,10,42
2021-11-11,-0.0012009735037281644,0.0,0.0,-0.0012009735037281644,0.9905266373310129,0.0,oursmain,core6,10,42
2021-11-12,0.0009169328259304166,0.5,0.0,0.0009169328259304166,0.9914348837197402,0.0,oursmain,core6,10,42
2021-11-15,0.00043746246956288815,0.5,0.0,0.00043746246956288815,0.991868599272383,0.0,oursmain,core6,10,42
2021-11-16,-0.0083502343040891,0.0,0.0,-0.0083502343040891,0.9835862640695899,0.0,oursmain,core6,10,42
2021-11-17,-0.00107851333450526,0.0,0.0,-0.00107851333450526,0.9825254531681546,0.0,oursmain,core6,10,42
2021-11-18,-0.0015102120232768357,0.0,0.0,-0.0015102120232768357,0.9810416314156046,0.0,oursmain,core6,10,42
