"model","mean_hit_mean","mean_hit_std","extreme_hit_mean","extreme_hit_std","stress_mean_hit_avg_mean","stress_mean_hit_avg_std","stress_extreme_hit_avg_q80_mean","stress_extreme_hit_avg_q80_std","rmse_x1e3_mean","rmse_x1e3_std"
"Corr-LSTM-GAT","0.4979566941140592","0.005216074538584609","0.49589905362776027","0.012314966117314282","0.5043125651489361","0.001841242649026344","0.5004379702800145","0.017595075730312628","6.183309385495948","0.0013082278599531251"
"FXRP","0.4742299481549253","0.001877987718004353","0.4868559411146162","0.0025498119144021334","0.47623712770628684","0.002094210264196621","0.49909431134682375","0.00457336697060523","6.195489954190706","0.007591281646919748"
"GNN","0.49582189691979267","0.0021365391751310826","0.4885383806519454","0.021136431393063697","0.49348515535874315","0.01090054957931913","0.4893784249787614","0.015059206234322014","6.193769889634022","0.0025891136311454103"
"MLP","0.5061299176578226","0.009556791605723378","0.5154574132492113","0.012037087715040327","0.5069223959657766","0.012372189898981284","0.5186422240663592","0.009527561105390905","6.181887741167543","0.003359131565326386"
"ARC_FX","0.5159499847514486","0.0027936078595680756","0.5261829652996846","0.014836562796599157","0.5272976925224361","0.0033376453297464465","0.5439700321382239","0.019207986209476082","6.212715676440296","0.012566280174038788"
"Transformer","0.503598658127478","0.007487395868099948","0.4923238696109358","0.025365077765930114","0.5056871033373346","0.008009334904903192","0.49514265055363044","0.017017864938582768","6.2195240853304155","0.03600380124980985"
