model,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max
no_graph,core6,10,0.00548797519877553,,0.00548797519877553,0.00548797519877553,0.00399232842028141,,0.00399232842028141,0.00399232842028141,0.4853613906678865,,0.4853613906678865,0.4853613906678865,0.5096065873741995,,0.5096065873741995,0.5096065873741995,0.5167682926829268,,0.5167682926829268,0.5167682926829268,0.4867337602927722,,0.4867337602927722,0.4867337602927722,-0.022823014037236473,,-0.022823014037236473,-0.022823014037236473,-0.3349792105107006,,-0.3349792105107006,-0.3349792105107006,-0.5766909299223613,,-0.5766909299223613,-0.5766909299223613,-0.1265961951285135,,-0.1265961951285135,-0.1265961951285135,-0.09008736265241168,,-0.09008736265241168,-0.09008736265241168
static_graph,core6,10,0.0054641724564135075,,0.0054641724564135075,0.0054641724564135075,0.003964142873883247,,0.003964142873883247,0.003964142873883247,0.4829216224458676,,0.4829216224458676,0.4829216224458676,0.4952729490698384,,0.4952729490698384,0.4952729490698384,0.5053353658536586,,0.5053353658536586,0.5053353658536586,0.49393107654772794,,0.49393107654772794,0.49393107654772794,-0.0036464833350375934,,-0.0036464833350375934,-0.0036464833350375934,0.24960358487391807,,0.24960358487391807,0.24960358487391807,0.4185673533728704,,0.4185673533728704,0.4185673533728704,-0.14407398596813437,,-0.14407398596813437,-0.14407398596813437,0.06512159448175225,,0.06512159448175225,0.06512159448175225
static_plus_dynamic_graph,core6,10,0.005460243672132492,,0.005460243672132492,0.005460243672132492,0.0039499117992818356,,0.0039499117992818356,0.0039499117992818356,0.48627630375114367,,0.48627630375114367,0.48627630375114367,0.4958828911253431,,0.4958828911253431,0.4958828911253431,0.5045731707317073,,0.5045731707317073,0.5045731707317073,0.49490698383653553,,0.49490698383653553,0.49490698383653553,-0.0031231026376189078,,-0.0031231026376189078,-0.0031231026376189078,-0.2012310902207066,,-0.2012310902207066,-0.2012310902207066,-0.2866606152882921,,-0.2866606152882921,-0.2866606152882921,-0.1741893110302044,,-0.1741893110302044,-0.1741893110302044,-0.05636266017972957,,-0.05636266017972957,-0.05636266017972957
