transition,mean_abs_prediction_change_mean,mean_abs_prediction_change_std,mean_abs_prediction_change_min,mean_abs_prediction_change_max,prediction_correlation_mean,prediction_correlation_std,prediction_correlation_min,prediction_correlation_max,mae_delta_mean,mae_delta_std,mae_delta_min,mae_delta_max,improved_obs_ratio_mean,improved_obs_ratio_std,improved_obs_ratio_min,improved_obs_ratio_max,worsened_obs_ratio_mean,worsened_obs_ratio_std,worsened_obs_ratio_min,worsened_obs_ratio_max,same_sign_ratio_mean,same_sign_ratio_std,same_sign_ratio_min,same_sign_ratio_max
dynamic_minus_nograph,0.0005283664291343764,,0.0005283664291343764,0.0005283664291343764,0.12735328439551138,,0.12735328439551138,0.12735328439551138,-3.635716244266035e-05,,-3.635716244266035e-05,-3.635716244266035e-05,0.4472617958436806,,0.4472617958436806,0.4472617958436806,0.40988106129917656,,0.40988106129917656,0.40988106129917656,0.6391321395895961,,0.6391321395895961,0.6391321395895961
dynamic_minus_static,0.0004964464657804421,,0.0004964464657804421,0.0004964464657804421,0.1709059102956361,,0.1709059102956361,0.1709059102956361,-1.2197879880158647e-05,,-1.2197879880158647e-05,-1.2197879880158647e-05,0.4409881061299177,,0.4409881061299177,0.4409881061299177,0.41615475101293947,,0.41615475101293947,0.41615475101293947,0.6167821199843158,,0.6167821199843158,0.6167821199843158
static_minus_nograph,0.0005444878045685845,,0.0005444878045685845,0.0005444878045685845,0.3874392125935505,,0.3874392125935505,0.3874392125935505,-2.41592825625017e-05,,-2.41592825625017e-05,-2.41592825625017e-05,0.443210037903542,,0.443210037903542,0.443210037903542,0.41393281923931513,,0.41393281923931513,0.41393281923931513,0.659783034897399,,0.659783034897399,0.659783034897399
