scenario,model,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max,n_dates_mean,n_dates_std,n_dates_min,n_dates_max,n_currency_obs_mean,n_currency_obs_std,n_currency_obs_min,n_currency_obs_max
all_test,mlp,core6,10,0.005451892441602437,,0.005451892441602437,0.005451892441602437,0.003931687033566493,,0.003931687033566493,0.003931687033566493,0.49283318084781946,,0.49283318084781946,0.49283318084781946,0.5068618481244281,,0.5068618481244281,0.5068618481244281,0.5053353658536586,,0.5053353658536586,0.5053353658536586,0.5001524855138761,,0.5001524855138761,0.5001524855138761,0.01500623573143184,,0.01500623573143184,0.01500623573143184,-0.10780792573576163,,-0.10780792573576163,-0.10780792573576163,-0.161416113878558,,-0.161416113878558,-0.161416113878558,-0.16121352472532635,,-0.16121352472532635,-0.16121352472532635,-0.029024298647300384,,-0.029024298647300384,-0.029024298647300384,1093.0,,1093,1093,6558.0,,6558,6558
all_test,oursmain,core6,10,0.005471093770028334,,0.005471093770028334,0.005471093770028334,0.003959160896982158,,0.003959160896982158,0.003959160896982158,0.5048795364440378,,0.5048795364440378,0.5048795364440378,0.5123513266239708,,0.5123513266239708,0.5123513266239708,0.5015243902439024,,0.5015243902439024,0.5015243902439024,0.49948154925282096,,0.49948154925282096,0.49948154925282096,0.00911162525276858,,0.00911162525276858,0.00911162525276858,-0.32778172665015876,,-0.32778172665015876,-0.32778172665015876,-0.4658424931825626,,-0.4658424931825626,-0.4658424931825626,-0.2084867117534941,,-0.2084867117534941,-0.2084867117534941,-0.09133863553756782,,-0.09133863553756782,-0.09133863553756782,1093.0,,1093,1093,6558.0,,6558,6558
commodity_shock,mlp,core6,10,0.005920150826818069,,0.005920150826818069,0.005920150826818069,0.004237633025285485,,0.004237633025285485,0.004237633025285485,0.48653667595171773,,0.48653667595171773,0.48653667595171773,0.489322191272052,,0.489322191272052,0.489322191272052,0.46403712296983757,,0.46403712296983757,0.46403712296983757,0.503435468895079,,0.503435468895079,0.503435468895079,0.012057663814585357,,0.012057663814585357,0.012057663814585357,-0.14689974980900802,,-0.14689974980900802,-0.14689974980900802,-0.23986743727414986,,-0.23986743727414986,-0.23986743727414986,-0.12856851829019433,,-0.12856851829019433,-0.12856851829019433,-0.013449767516704014,,-0.013449767516704014,-0.013449767516704014,359.0,,359,359,2154.0,,2154,2154
commodity_shock,oursmain,core6,10,0.0059201582327437175,,0.0059201582327437175,0.0059201582327437175,0.0042481770851588874,,0.0042481770851588874,0.0042481770851588874,0.5143918291550603,,0.5143918291550603,0.5143918291550603,0.5273909006499535,,0.5273909006499535,0.5273909006499535,0.531322505800464,,0.531322505800464,0.531322505800464,0.5010213556174559,,0.5010213556174559,0.5010213556174559,0.009192562342241552,,0.009192562342241552,0.009192562342241552,-0.148367280238857,,-0.148367280238857,-0.148367280238857,-0.20266095984378993,,-0.20266095984378993,-0.20266095984378993,-0.1370938082000066,,-0.1370938082000066,-0.1370938082000066,-0.014630929660597758,,-0.014630929660597758,-0.014630929660597758,359.0,,359,359,2154.0,,2154,2154
cross_section_dispersion,mlp,core6,10,0.00998313360304782,,0.00998313360304782,0.00998313360304782,0.007448343625942092,,0.007448343625942092,0.007448343625942092,0.4766666666666667,,0.4766666666666667,0.4766666666666667,0.49333333333333335,,0.49333333333333335,0.49333333333333335,0.5166666666666667,,0.5166666666666667,0.5166666666666667,0.49933333333333335,,0.49933333333333335,0.49933333333333335,0.009714285714285708,,0.009714285714285708,0.009714285714285708,0.2925220903390485,,0.2925220903390485,0.2925220903390485,0.5210225965173472,,0.5210225965173472,0.5210225965173472,-0.07698030908250075,,-0.07698030908250075,-0.07698030908250075,0.014235197902962682,,0.014235197902962682,0.014235197902962682,100.0,,100,100,600.0,,600,600
cross_section_dispersion,oursmain,core6,10,0.009876969407274644,,0.009876969407274644,0.009876969407274644,0.007349062849590761,,0.007349062849590761,0.007349062849590761,0.5666666666666667,,0.5666666666666667,0.5666666666666667,0.5666666666666667,,0.5666666666666667,0.5666666666666667,0.5916666666666667,,0.5916666666666667,0.5916666666666667,0.5133333333333333,,0.5133333333333333,0.5133333333333333,0.032,,0.032,0.032,-0.3679665171392321,,-0.3679665171392321,-0.3679665171392321,-0.5922435715023403,,-0.5922435715023403,-0.5922435715023403,-0.14208786952804076,,-0.14208786952804076,-0.14208786952804076,-0.019260522502008826,,-0.019260522502008826,-0.019260522502008826,100.0,,100,100,600.0,,600,600
dollar_shock,mlp,core6,10,0.006084045498425469,,0.006084045498425469,0.006084045498425469,0.00441793455609356,,0.00441793455609356,0.00441793455609356,0.46782700421940926,,0.46782700421940926,0.46782700421940926,0.46729957805907174,,0.46729957805907174,0.46729957805907174,0.45789473684210524,,0.45789473684210524,0.45789473684210524,0.4985232067510548,,0.4985232067510548,0.4985232067510548,0.025157611325009276,,0.025157611325009276,0.025157611325009276,0.13071399395454125,,0.13071399395454125,0.13071399395454125,0.19994608631925948,,0.19994608631925948,0.19994608631925948,-0.10913658384151859,,-0.10913658384151859,-0.10913658384151859,0.010683920283099724,,0.010683920283099724,0.010683920283099724,316.0,,316,316,1896.0,,1896,1896
dollar_shock,oursmain,core6,10,0.006104069340979506,,0.006104069340979506,0.006104069340979506,0.004454246857259749,,0.004454246857259749,0.004454246857259749,0.4936708860759494,,0.4936708860759494,0.4936708860759494,0.49261603375527424,,0.49261603375527424,0.49261603375527424,0.4763157894736842,,0.4763157894736842,0.4763157894736842,0.4879746835443038,,0.4879746835443038,0.4879746835443038,-0.01631260617586295,,-0.01631260617586295,-0.01631260617586295,-0.8508497181328961,,-0.8508497181328961,-0.8508497181328961,-1.3656035633505725,,-1.3656035633505725,-1.3656035633505725,-0.14163256623214693,,-0.14163256623214693,-0.14163256623214693,-0.07319716182519187,,-0.07319716182519187,-0.07319716182519187,316.0,,316,316,1896.0,,1896,1896
extreme_union,mlp,core6,10,0.006008179432547412,,0.006008179432547412,0.006008179432547412,0.004368300190323506,,0.004368300190323506,0.004368300190323506,0.49233716475095785,,0.49233716475095785,0.49233716475095785,0.4997871434653044,,0.4997871434653044,0.4997871434653044,0.5,,0.5,0.5,0.4985100042571307,,0.4985100042571307,0.4985100042571307,0.007550187136463394,,0.007550187136463394,0.007550187136463394,-0.18965384355281747,,-0.18965384355281747,-0.18965384355281747,-0.2892819417110917,,-0.2892819417110917,-0.2892819417110917,-0.22138785708580144,,-0.22138785708580144,-0.22138785708580144,-0.03911395422323949,,-0.03911395422323949,-0.03911395422323949,783.0,,783,783,4698.0,,4698,4698
extreme_union,oursmain,core6,10,0.006026795813990825,,0.006026795813990825,0.006026795813990825,0.004393884761803451,,0.004393884761803451,0.004393884761803451,0.5014899957428693,,0.5014899957428693,0.5014899957428693,0.5061728395061729,,0.5061728395061729,0.5061728395061729,0.4925531914893617,,0.4925531914893617,0.4925531914893617,0.5001277139208173,,0.5001277139208173,0.5001277139208173,0.009259176321286904,,0.009259176321286904,0.009259176321286904,-0.48986199982066864,,-0.48986199982066864,-0.48986199982066864,-0.7092608844167969,,-0.7092608844167969,-0.7092608844167969,-0.21017828175786235,,-0.21017828175786235,-0.21017828175786235,-0.10510763016350211,,-0.10510763016350211,-0.10510763016350211,783.0,,783,783,4698.0,,4698,4698
