rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,model,universe,lookback,seed,base_model,ablation_stage
0.005437476560473442,0.0039276061579585075,0.48231168039036293,0.5077767612076852,0.5251524390243902,0.485940835620616,-0.01573477671718615,0.33338913331113207,0.5677405429056998,-0.09149829141097143,0.09476716101926286,no_graph,core6,10,42,foundation_nograph,no_graph
0.005433756858110428,0.003923413343727589,0.5064043915827996,0.5367490088441598,0.5472560975609756,0.5048490393412626,0.030731274691584886,1.0431258199726554,1.6388888622722497,-0.07644184306263924,0.27249883848708123,static_graph,core6,10,42,foundation_static,static_graph
0.005430546589195728,0.003917910624295473,0.5112839280268374,0.5324794144556267,0.5464939024390244,0.512778286062824,0.04221829016337222,1.5087070399289213,2.569719615574687,-0.0536550575052388,0.43077305995393544,static_plus_dynamic_graph,core6,10,42,foundation_relational,static_plus_dynamic_graph
0.005513859447091818,0.0039795199409127235,0.5106739859713327,0.5135712107349801,0.5091463414634146,0.5054589813967673,0.03260925546379439,0.33092474848958864,0.4465364167464212,-0.10134878873941489,0.09900988625304308,oursmain,core6,10,42,oursmain,oursmain
0.005435571540147066,0.003924842923879623,0.5019823116803903,0.521805428484294,0.5350609756097561,0.4991765782250686,0.011769237291933453,0.6115593361378441,1.003765401359069,-0.0661632755654864,0.16003916462068446,no_graph,core6,10,123,foundation_nograph,no_graph
0.00543568329885602,0.003918609581887722,0.4975602317779811,0.5187557182067704,0.520579268292683,0.5036901494358036,0.020166215604071152,0.474875590564988,0.7417885702858396,-0.1274818314705044,0.12921698136779014,static_graph,core6,10,123,foundation_static,static_graph
0.0054363408125936985,0.00392216956242919,0.49390057944495275,0.5215004574565416,0.5259146341463414,0.4890515401036902,-0.014283684412291074,0.07726331030221022,0.1291834828081418,-0.08766854368150234,0.0198588099447079,static_plus_dynamic_graph,core6,10,123,foundation_relational,static_plus_dynamic_graph
0.005451505072414875,0.003932548221200705,0.5022872827081427,0.515096065873742,0.510670731707317,0.5076547727965843,0.0363974950756726,0.39536332582120615,0.5376531823861757,-0.10388193484686781,0.10855631534650456,oursmain,core6,10,123,oursmain,oursmain
0.005431362893432379,0.003917680121958256,0.5056419640134188,0.5346142116498933,0.5510670731707317,0.49618786215309546,0.0048112271820352015,0.46201052878148313,0.7778360276332358,-0.10069027944700792,0.12819816273986362,no_graph,core6,10,456,foundation_nograph,no_graph
0.005437565967440605,0.003925832454115152,0.4920707532784385,0.5166209210125038,0.5213414634146342,0.4976517230863068,0.011924983447196573,0.8249365015528387,1.368546622300877,-0.08889851393178105,0.22648637517704628,static_graph,core6,10,456,foundation_static,static_graph
0.005440540611743927,0.003929329104721546,0.489935956084172,0.5093016163464471,0.5137195121951219,0.4948459896309851,0.003102430849864358,0.4435663303774187,0.709459057729545,-0.06528093467932194,0.12120394252997357,static_plus_dynamic_graph,core6,10,456,foundation_relational,static_plus_dynamic_graph
0.005456403363496065,0.003945805132389069,0.5042695943885331,0.519365660262275,0.5129573170731707,0.5030192131747484,0.02347196716199373,0.32035152347794676,0.4750099726876704,-0.1142235224833712,0.09304050757782534,oursmain,core6,10,456,oursmain,oursmain
