seed,transition,mean_abs_prediction_change,prediction_correlation,mae_delta,improved_obs_ratio,worsened_obs_ratio,same_sign_ratio
42,static_minus_nograph,0.00018999427941723528,0.5202002830595259,-3.5938525885404693e-06,0.4443863547248726,0.41275650241798456,0.7736243628283884
42,dynamic_minus_static,0.00019651652884283442,0.6738740018876505,-4.716508814943126e-06,0.4253038818455104,0.43183897529734677,0.7634296170435237
42,dynamic_minus_nograph,0.00020423638605582617,0.539252488943464,-8.310361403483595e-06,0.44255652855835836,0.41458632858449873,0.718729577832963
42,oursmain_minus_dynamic,0.0007355935124013161,0.0031889913830363734,5.2807951225396625e-05,0.4060907070971115,0.45105215004574567,0.5905110443079336
42,oursmain_minus_static,0.0007692095775894575,0.034743082858535806,4.80914424104535e-05,0.4075284276565155,0.44961442948634167,0.5139197490524114
42,oursmain_minus_nograph,0.0007685406526923991,-0.1365435015644554,4.449758982191303e-05,0.41419422297738856,0.4429486341654686,0.4859495490785518
123,static_minus_nograph,0.0001713675431821765,0.749761820200779,-5.343100949631049e-06,0.436021435106522,0.4211214220363351,0.8015945628022481
123,dynamic_minus_static,0.00011286574628052274,0.713727044146819,3.051367872031546e-06,0.4188994902627108,0.43824336688014637,0.8189779113841328
123,dynamic_minus_nograph,0.00016741248059825694,0.718591195315581,-2.2917330775995033e-06,0.43340739772578746,0.42373545941706964,0.8051235132662397
123,oursmain_minus_dynamic,0.0003857106331631466,0.3370452643667558,8.896308323249626e-06,0.41850738465560056,0.4386354724872566,0.6520716246242321
123,oursmain_minus_static,0.000365090533208096,0.453876130057591,1.1947676195281173e-05,0.41497843419160896,0.4421644229512482,0.6634426872304274
123,oursmain_minus_nograph,0.000446758815688101,0.23417864483785247,6.6045752456501225e-06,0.42164422951248204,0.4354986276303751,0.5790092798327016
456,static_minus_nograph,0.00017304734200797986,0.7680086360947699,6.987739881516152e-06,0.41497843419160896,0.4421644229512482,0.8219840543719775
456,dynamic_minus_static,0.00021020766341575412,0.6183032699105949,2.99691468890363e-06,0.4272644098810613,0.42987844726179586,0.7853875310416939
456,dynamic_minus_nograph,0.0001569864805078964,0.6487445837168864,9.984654570419782e-06,0.4100117631682133,0.44713109397464385,0.7778068226375637
456,oursmain_minus_dynamic,0.0003976397646731065,0.33047877167588235,1.4122477962084824e-05,0.42046791269115147,0.4366749444517057,0.6753365573127695
456,oursmain_minus_static,0.00047077739578820323,0.10297985344520602,1.7119392650988455e-05,0.41497843419160896,0.4421644229512482,0.6063259704613776
456,oursmain_minus_nograph,0.00038491927403299265,0.35720963091088703,2.4107132532504605e-05,0.4089661482159195,0.4481767089269377,0.6949418376682787
