model,lookback,gross_exposure,cost_bps,sharpe_mean,sharpe_std,cumulative_return_mean,cumulative_return_std,terminal_wealth_mean,terminal_wealth_std,cagr_mean,cagr_std,sortino_mean,sortino_std,volatility_mean,volatility_std,mdd_mean,mdd_std,ret_mean_daily_mean,ret_mean_daily_std,ret_std_daily_mean,ret_std_daily_std,ret_min_mean,ret_min_std,ret_max_mean,ret_max_std,turnover_mean_daily_mean,turnover_mean_daily_std,cost_mean_daily_mean,cost_mean_daily_std,pred_nan_count_mean,target_nan_count_mean,target_std_mean,target_std_std,cumulative_return_pct_mean,cagr_pct_mean,volatility_pct_mean,mdd_pct_mean
Ours,20,1.0,0.0,11.431275974465061,0.04235971821646348,4.9985437954259,0.020681033989141073,5.9985437954259,0.020681033989141073,0.505210070122185,0.0011854250948916281,17.40933872055509,0.6123116546434432,0.03585841837853981,9.47218978660344e-05,-0.017005988527655915,0.00020912563394668283,0.001626607746658718,3.126878403656664e-06,0.0022588680332315306,5.966918701561704e-06,-0.017005988527671434,0.00020912563394680323,0.015343017910102693,7.719251200227683e-05,1.3591988727858293,0.011807575987167836,0.0,0.0,0.0,0.0,0.006002131787413445,0.0,499.85437954259,50.5210070122185,3.5858418378539807,-1.7005988527655915
GAT,20,1.0,0.0,7.998394302007998,0.22621294487848467,2.3544338302266126,0.11514923803974246,3.3544338302266126,0.11514923803974246,0.3180990825299046,0.010371979116434478,12.836817204651226,0.46691999719308874,0.034622989528324884,0.0003575386890071985,-0.016503478360780113,0.0004907495352717613,0.0010988856610409854,3.130793696967896e-05,0.002181043330846218,2.2522820361835848e-05,-0.016503478360795673,0.0004907495352723515,0.01655465305440076,0.0006525256165896422,1.3947262479871174,0.0043684650592212436,0.0,0.0,0.0,0.0,0.006002131787413445,0.0,235.44338302266127,31.80990825299046,3.4622989528324886,-1.6503478360780113
Transformer,20,1.0,0.0,6.4419143028403125,0.37196558533541807,1.6937775701598137,0.08778776232432198,2.6937775701598135,0.08778776232432188,0.25374082777729284,0.009301959222718943,12.048258974871894,2.2509316305772202,0.035252811792362844,0.0011746592378503965,-0.01690128948699498,0.002609563469274403,0.0009001385490379063,2.93447138424508e-05,0.0022207184041989824,7.399657663325731e-05,-0.010647561647702886,0.0055737562719677365,0.017268502891561687,0.0001798396824130098,1.282306763285024,0.039089456759715195,0.0,0.0,0.0,0.0,0.006002131787413445,0.0,169.37775701598136,25.374082777729285,3.5252811792362846,-1.690128948699498
LSTM,20,1.0,0.0,5.772442393246045,0.01211731711047646,1.3990088335963378,0.016450592635563605,2.3990088335963375,0.016450592635563605,0.22108303724121958,0.0019139030351793395,10.435556457479734,1.3948573003987264,0.03471950263459372,0.00021119066061046327,-0.020879810426954762,0.0026757792613921363,0.0007953083430873974,6.256456022250933e-06,0.0021871230850711147,1.3303761123684108e-05,-0.009585182796096584,0.005725803868008719,0.016701103294811524,0.0,1.1817632850241546,0.014094130455294493,0.0,0.0,0.0,0.0,0.006002131787413445,0.0,139.90088335963378,22.10830372412196,3.4719502634593717,-2.087981042695476
GRU,20,1.0,0.0,5.510845516106482,0.09088367325143913,1.342804066820153,0.0989333385326557,2.342804066820153,0.0989333385326557,0.21437022520581053,0.011649998706896297,9.453272923499279,0.47499036715812853,0.035354173174741974,0.001217806076843396,-0.021443052040707265,0.005473239247143735,0.0007733883530129243,3.821099337246519e-05,0.0022271035711113846,7.6714572010258e-05,-0.013010075866380548,0.005281017295703855,0.017210429138180595,0.0005497671488717782,1.1381843800322062,0.027812762398415226,0.0,0.0,0.0,0.0,0.006002131787413445,0.0,134.2804066820153,21.437022520581053,3.5354173174741974,-2.1443052040707267
MLP,20,1.0,0.0,5.425685105922061,0.5167660737559827,1.3603413313808546,0.18542588162899973,2.360341331380855,0.18542588162899992,0.21612994052281964,0.021646394030502118,8.954151015271874,0.6317738118592062,0.036196064677627905,0.0006617013180614636,-0.01727778305563867,0.0014940702003078715,0.0007789613765970706,7.049654213974378e-05,0.002280137750814589,4.168326499510198e-05,-0.01569971323058578,0.0003714262552667355,0.018770760054596596,0.0018633698164140864,1.4272342995169083,0.01882906017834398,0.0,0.0,0.0,0.0,0.006002131787413445,0.0,136.03413313808545,21.612994052281962,3.6196064677627904,-1.727778305563867
