model,gross_exposure,cagr_mean_cost0,cumulative_return_mean_cost0,mdd_mean_cost0,sharpe_mean_cost0
GAT,1.0,0.3180990825299046,2.3544338302266126,-0.016503478360780113,7.998394302007998
GRU,1.0,0.21437022520581053,1.342804066820153,-0.021443052040707265,5.510845516106482
LSTM,1.0,0.22108303724121958,1.3990088335963378,-0.020879810426954762,5.772442393246045
MLP,1.0,0.21612994052281964,1.3603413313808546,-0.01727778305563867,5.425685105922061
Ours,1.0,0.505210070122185,4.9985437954259,-0.017005988527655915,11.431275974465061
Transformer,1.0,0.25374082777729284,1.6937775701598137,-0.01690128948699498,6.4419143028403125
