model,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max
no_graph,core6,10,0.005455264821648598,,0.005455264821648598,0.005455264821648598,0.00394911365583539,,0.00394911365583539,0.00394911365583539,0.4888685574870387,,0.4888685574870387,0.4888685574870387,0.4989326014028667,,0.4989326014028667,0.4989326014028667,0.510670731707317,,0.510670731707317,0.510670731707317,0.4875876791704788,,0.4875876791704788,0.4875876791704788,-0.016421448729273855,,-0.016421448729273855,-0.016421448729273855,-0.07633038039472524,,-0.07633038039472524,-0.07633038039472524,-0.12069865557102111,,-0.12069865557102111,-0.12069865557102111,-0.17916185811918695,,-0.17916185811918695,-0.17916185811918695,-0.02092050241481047,,-0.02092050241481047,-0.02092050241481047
oursmain,core6,10,0.005491035524755716,,0.005491035524755716,0.005491035524755716,0.003978852182626724,,0.003978852182626724,0.003978852182626724,0.5041171088746569,,0.5041171088746569,0.5041171088746569,0.5120463555962184,,0.5120463555962184,0.5120463555962184,0.506859756097561,,0.506859756097561,0.506859756097561,0.5029582189691979,,0.5029582189691979,0.5029582189691979,0.02287672648092316,,0.02287672648092316,0.02287672648092316,0.909912279785423,,0.909912279785423,0.909912279785423,1.2932043171955196,,1.2932043171955196,1.2932043171955196,-0.09436080022715032,,-0.09436080022715032,-0.09436080022715032,0.243551094616123,,0.243551094616123,0.243551094616123
static_graph,core6,10,0.005435874219983816,,0.005435874219983816,0.005435874219983816,0.0039313435554504395,,0.0039313435554504395,0.0039313435554504395,0.5032021957913998,,0.5032021957913998,0.5032021957913998,0.5227203415675511,,0.5227203415675511,0.5227203415675511,0.5434451219512195,,0.5434451219512195,0.5434451219512195,0.49356511131442515,,0.49356511131442515,0.49356511131442515,0.0046162355890434345,,0.0046162355890434345,0.0046162355890434345,0.7952739187586498,,0.7952739187586498,0.7952739187586498,1.3103065516017498,,1.3103065516017498,1.3103065516017498,-0.07144896197132766,,-0.07144896197132766,-0.07144896197132766,0.21362916958605638,,0.21362916958605638,0.21362916958605638
static_plus_dynamic_graph,core6,10,0.00548152532428503,,0.00548152532428503,0.00548152532428503,0.003971664234995842,,0.003971664234995842,0.003971664234995842,0.47346752058554437,,0.47346752058554437,0.47346752058554437,0.484903934126258,,0.484903934126258,0.484903934126258,0.47560975609756095,,0.47560975609756095,0.47560975609756095,0.49149130832570903,,0.49149130832570903,0.49149130832570903,-0.007545992465952647,,-0.007545992465952647,-0.007545992465952647,-0.3988751253808615,,-0.3988751253808615,-0.3988751253808615,-0.592205021679129,,-0.592205021679129,-0.592205021679129,-0.14542089615861187,,-0.14542089615861187,-0.14542089615861187,-0.10767013605072862,,-0.10767013605072862,-0.10767013605072862
