transition,mean_abs_prediction_change_mean,mean_abs_prediction_change_std,mean_abs_prediction_change_min,mean_abs_prediction_change_max,prediction_correlation_mean,prediction_correlation_std,prediction_correlation_min,prediction_correlation_max,mae_delta_mean,mae_delta_std,mae_delta_min,mae_delta_max,improved_obs_ratio_mean,improved_obs_ratio_std,improved_obs_ratio_min,improved_obs_ratio_max,worsened_obs_ratio_mean,worsened_obs_ratio_std,worsened_obs_ratio_min,worsened_obs_ratio_max,same_sign_ratio_mean,same_sign_ratio_std,same_sign_ratio_min,same_sign_ratio_max
dynamic_minus_nograph,0.0005917413453710275,,0.0005917413453710275,0.0005917413453710275,0.012881226602789803,,0.012881226602789803,0.012881226602789803,1.9328810046977912e-05,,1.9328810046977912e-05,1.9328810046977912e-05,0.41798457717945364,,0.41798457717945364,0.41798457717945364,0.43915827996340345,,0.43915827996340345,0.43915827996340345,0.4196837014769311,,0.4196837014769311,0.4196837014769311
dynamic_minus_static,0.00054035469673699,,0.00054035469673699,0.00054035469673699,-0.16303844014325194,,-0.16303844014325194,-0.16303844014325194,3.4560718933447166e-05,,3.4560718933447166e-05,3.4560718933447166e-05,0.4126258005489479,,0.4126258005489479,0.4126258005489479,0.4445170565939093,,0.4445170565939093,0.4445170565939093,0.4936609593517187,,0.4936609593517187,0.4936609593517187
oursmain_minus_dynamic,0.0007561825844700166,,0.0007561825844700166,0.0007561825844700166,-0.013907951974970977,,-0.013907951974970977,-0.013907951974970977,6.1608682058363065e-06,,6.1608682058363065e-06,6.1608682058363065e-06,0.42308195007188604,,0.42308195007188604,0.42308195007188604,0.4340609070709711,,0.4340609070709711,0.4340609070709711,0.47457848647235656,,0.47457848647235656,0.47457848647235656
oursmain_minus_nograph,0.0005465547998654087,,0.0005465547998654087,0.0005465547998654087,0.26610211628726643,,0.26610211628726643,0.26610211628726643,2.548967825281422e-05,,2.548967825281422e-05,2.548967825281422e-05,0.41654685662004964,,0.41654685662004964,0.41654685662004964,0.44059600052280745,,0.44059600052280745,0.44059600052280745,0.6923278002875441,,0.6923278002875441,0.6923278002875441
oursmain_minus_static,0.0005716952950277299,,0.0005716952950277299,0.0005716952950277299,0.2864915702590077,,0.2864915702590077,0.2864915702590077,4.072158713928347e-05,,4.072158713928347e-05,4.072158713928347e-05,0.40700562018036857,,0.40700562018036857,0.40700562018036857,0.4501372369624886,,0.4501372369624886,0.4501372369624886,0.6685400601228597,,0.6685400601228597,0.6685400601228597
static_minus_nograph,0.0003748931966090863,,0.0003748931966090863,0.0003748931966090863,0.3192311874122961,,0.3192311874122961,0.3192311874122961,-1.5231908886469255e-05,,-1.5231908886469255e-05,-1.5231908886469255e-05,0.44138021173702785,,0.44138021173702785,0.44138021173702785,0.4157626454058293,,0.4157626454058293,0.4157626454058293,0.675597961050843,,0.675597961050843,0.675597961050843
