seed,transition,mean_abs_prediction_change,prediction_correlation,mae_delta,improved_obs_ratio,worsened_obs_ratio,same_sign_ratio
42,static_minus_nograph,0.00013385350004864186,0.7548245579990618,-1.3864197085340895e-06,0.42621879492876746,0.4309240622140897,0.815056855313031
42,dynamic_minus_static,0.00011828728388940119,0.7974142902758882,-1.7564504866595068e-06,0.4386354724872566,0.41850738465560056,0.8281270422167037
42,dynamic_minus_nograph,0.00013477925683241871,0.7501820184310757,-3.1428701951935966e-06,0.4383740687491831,0.41876878839367404,0.8183244020389492
123,static_minus_nograph,0.00016834300646139785,0.7443138360889722,-7.554703553419531e-06,0.4424258266893217,0.4147170304535355,0.796366488040779
123,dynamic_minus_static,0.00015443618804921111,0.6760891870750764,7.0972259763192355e-06,0.4147170304535355,0.4424258266893217,0.7606848777937525
123,dynamic_minus_nograph,0.0001643499146222797,0.6992064651173223,-4.5747757710029526e-07,0.42425826689321655,0.43288459024964054,0.7959743824336688
456,static_minus_nograph,0.0001441839131247608,0.775002663626294,-3.842775981048748e-06,0.43628283884459546,0.42086001829826164,0.8086524637302314
456,dynamic_minus_static,0.00011667293381380326,0.779612564339841,1.6789705073373542e-06,0.4283100248333551,0.42883283230950203,0.8404130179061561
456,dynamic_minus_nograph,0.00013233757806394635,0.7912748404481238,-2.1638054737113944e-06,0.4358907332374853,0.42125212390537187,0.8234217749313815
