rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,model,universe,lookback,seed,hidden,graph_rank,dropout,edge_dropout,spectral_bound,lr,weight_decay,lambda_dir,lambda_rank,lambda_smooth,lambda_static,lambda_sparse,lambda_spectral,small_return_quantile,top_k,trial_id
0.006299693137407303,0.0045029777102172375,0.5016468435498628,0.5097895699908509,0.49725526075022874,0.4935244485107248,-0.0060107212891192165,-0.7685490296407169,-1.0783377312987907,-0.23306708852169322,-0.2108976777285534,oursmain,core6,10,42,48,8,0.2,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.35,7,oursmain_trial0001
0.006299328990280628,0.004502190742641687,0.5004574565416285,0.5088746569075938,0.4977127172918573,0.49452068720138254,-0.002762074889506121,-0.7152498720114531,-1.0169756658276863,-0.21965810149549725,-0.1954914278517208,oursmain,core6,10,42,48,8,0.2,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,7,oursmain_trial0002
0.006299957167357206,0.0045029581524431705,0.5014638609332114,0.5114364135407137,0.49954254345837146,0.49456135000508283,-0.0018864960357255617,-0.552300057802725,-0.7779960533244322,-0.17915110395688316,-0.15146336587122278,oursmain,core6,10,42,48,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.35,7,oursmain_trial0003
0.006300169043242931,0.004502785392105579,0.5009149130832571,0.5097895699908509,0.49725526075022874,0.4958625597234929,0.0009148544983543004,-0.528175048750546,-0.7440998319582428,-0.18290630778346895,-0.14468418965907404,oursmain,core6,10,42,48,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,7,oursmain_trial0004
