model,trial_id,hidden,top_k,graph_rank,dropout,edge_dropout,spectral_bound,lr,weight_decay,lambda_dir,lambda_rank,lambda_smooth,lambda_static,lambda_sparse,lambda_spectral,small_return_quantile,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max,rank_score
oursmain,oursmain_trial0001,48,7,8,0.2,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.35,core6,10,0.006299693137407303,,0.006299693137407303,0.006299693137407303,0.0045029777102172375,,0.0045029777102172375,0.0045029777102172375,0.5016468435498628,,0.5016468435498628,0.5016468435498628,0.5097895699908509,,0.5097895699908509,0.5097895699908509,0.49725526075022874,,0.49725526075022874,0.49725526075022874,0.4935244485107248,,0.4935244485107248,0.4935244485107248,-0.0060107212891192165,,-0.0060107212891192165,-0.0060107212891192165,-0.7685490296407169,,-0.7685490296407169,-0.7685490296407169,-1.0783377312987907,,-1.0783377312987907,-1.0783377312987907,-0.23306708852169322,,-0.23306708852169322,-0.23306708852169322,-0.2108976777285534,,-0.2108976777285534,-0.2108976777285534,-0.5016468435498628
oursmain,oursmain_trial0003,48,7,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.35,core6,10,0.006299957167357206,,0.006299957167357206,0.006299957167357206,0.0045029581524431705,,0.0045029581524431705,0.0045029581524431705,0.5014638609332114,,0.5014638609332114,0.5014638609332114,0.5114364135407137,,0.5114364135407137,0.5114364135407137,0.49954254345837146,,0.49954254345837146,0.49954254345837146,0.49456135000508283,,0.49456135000508283,0.49456135000508283,-0.0018864960357255617,,-0.0018864960357255617,-0.0018864960357255617,-0.552300057802725,,-0.552300057802725,-0.552300057802725,-0.7779960533244322,,-0.7779960533244322,-0.7779960533244322,-0.17915110395688316,,-0.17915110395688316,-0.17915110395688316,-0.15146336587122278,,-0.15146336587122278,-0.15146336587122278,-0.5014638609332114
oursmain,oursmain_trial0004,48,7,8,0.25,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006300169043242931,,0.006300169043242931,0.006300169043242931,0.004502785392105579,,0.004502785392105579,0.004502785392105579,0.5009149130832571,,0.5009149130832571,0.5009149130832571,0.5097895699908509,,0.5097895699908509,0.5097895699908509,0.49725526075022874,,0.49725526075022874,0.49725526075022874,0.4958625597234929,,0.4958625597234929,0.4958625597234929,0.0009148544983543004,,0.0009148544983543004,0.0009148544983543004,-0.528175048750546,,-0.528175048750546,-0.528175048750546,-0.7440998319582428,,-0.7440998319582428,-0.7440998319582428,-0.18290630778346895,,-0.18290630778346895,-0.18290630778346895,-0.14468418965907404,,-0.14468418965907404,-0.14468418965907404,-0.5009149130832571
oursmain,oursmain_trial0002,48,7,8,0.2,0.05,1.0,0.0003,0.0001,0.1,0.08,0.001,0.001,0.0001,0.001,0.4,core6,10,0.006299328990280628,,0.006299328990280628,0.006299328990280628,0.004502190742641687,,0.004502190742641687,0.004502190742641687,0.5004574565416285,,0.5004574565416285,0.5004574565416285,0.5088746569075938,,0.5088746569075938,0.5088746569075938,0.4977127172918573,,0.4977127172918573,0.4977127172918573,0.49452068720138254,,0.49452068720138254,0.49452068720138254,-0.002762074889506121,,-0.002762074889506121,-0.002762074889506121,-0.7152498720114531,,-0.7152498720114531,-0.7152498720114531,-1.0169756658276863,,-1.0169756658276863,-1.0169756658276863,-0.21965810149549725,,-0.21965810149549725,-0.21965810149549725,-0.1954914278517208,,-0.1954914278517208,-0.1954914278517208,-0.5004574565416285
