rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,model,universe,lookback,seed
0.0054552736692130566,0.003938501235097647,0.5044220799024093,0.5144861238182372,0.5091463414634146,0.5108874656907594,0.041159017169888554,0.44029179843475363,0.6082777789675777,-0.16350795852486044,0.12623750314378412,oursmain,core6,10,42
0.005441156215965748,0.003926573321223259,0.4925282098200671,0.5175358340957609,0.5198170731707317,0.49801768831960963,0.00865835804511876,0.8440081046907468,1.4827190044648688,-0.08107771154027432,0.235942083018017,foundation_relational,core6,10,42
0.005445878021419048,0.0039311908185482025,0.4853613906678865,0.5013723696248856,0.5045731707317073,0.4885025922537359,-0.016627326082365123,0.2479428952438613,0.4075796802387835,-0.13500911691517103,0.06680830965342466,mlp,core6,10,42
0.005442036781460047,0.003931094892323017,0.476517230863068,0.4943580359865813,0.4885670731707317,0.48392802683745045,-0.021879237862141927,-0.4874461029207696,-0.7556870453138095,-0.23253900217241608,-0.1328705926425755,lstm,core6,10,42
0.00544422771781683,0.003924766555428505,0.4940530649588289,0.5120463555962184,0.49085365853658536,0.4972247636474535,0.010965615003717549,0.1118676601226212,0.155306308751311,-0.10917486116522923,0.029652362543856725,gru,core6,10,42
0.005440356209874153,0.003923737443983555,0.4984751448612382,0.5105215004574566,0.5129573170731707,0.4994205550472705,0.016762155684351725,0.45556239952314864,0.6794108173444796,-0.10972168325679377,0.12040479852294084,gnn,core6,10,42
0.005468121264129877,0.003960844594985247,0.5152485513876182,0.5315645013723697,0.5457317073170732,0.5090576395242452,0.03518340881480926,0.005596629182303644,0.007509304245646002,-0.12914895480207633,0.0017057574150385335,oursmain,core6,10,123
0.00543747004121542,0.00392371229827404,0.496645318694724,0.5120463555962184,0.5213414634146342,0.506312900274474,0.028236902949562395,1.0290075130458598,1.6180090701857741,-0.053997418377548456,0.27765190551872365,foundation_relational,core6,10,123
0.005445387214422226,0.003928897902369499,0.48215919487648673,0.5007624275693809,0.4969512195121951,0.49112534309240624,-0.006401852142352345,-0.30755226121200163,-0.46165820370833116,-0.20576563102076761,-0.08122849385836162,mlp,core6,10,123
0.00543860113248229,0.0039289565756917,0.48581884720951507,0.5089966453186947,0.5182926829268293,0.4936870997255261,-0.005382470640091054,0.6474730314350579,1.0892011009583682,-0.059467329061590135,0.18405330266978126,lstm,core6,10,123
0.00544680655002594,0.003935117274522781,0.4852089051540104,0.5114364135407137,0.5038109756097561,0.4927111924367185,-0.005998096274526438,0.024923217698553775,0.04056777038917088,-0.13695748794998508,0.006903094137669541,gru,core6,10,123
0.005439539905637503,0.003923443611711264,0.4906983836535529,0.5157060079292467,0.5175304878048781,0.49594388533089356,0.0008749520454084322,0.031183389807799507,0.04520568597931849,-0.10005612709210254,0.008934343757573515,gnn,core6,10,123
0.005460677668452263,0.003934796899557114,0.5155535224153706,0.526075022872827,0.5175304878048781,0.512656297651723,0.04467422732676095,1.0132116791150967,1.4801134522112327,-0.08844166989729274,0.2868937310850015,oursmain,core6,10,456
0.005435955710709095,0.003924788441509008,0.4974077462641049,0.5208905154010369,0.5411585365853658,0.4910033546813053,-0.007979564216051454,0.443230769471539,0.7642211032245689,-0.07764283318829257,0.12854645727202296,foundation_relational,core6,10,456
0.005440281704068184,0.003931036684662104,0.4908508691674291,0.5065568770966759,0.5480182926829268,0.4936870997255261,-0.0009818067188518726,0.5542613068539528,0.9686198209367224,-0.08844308224797715,0.15594670176506042,mlp,core6,10,456
0.00545462453737855,0.003937060013413429,0.49786520280573343,0.5236352546508082,0.5137195121951219,0.48435498627630375,-0.02042279782377001,0.004974600981509375,0.007810531255864757,-0.11738162480469327,0.001362162918667309,lstm,core6,10,456
0.005440565757453442,0.003920821938663721,0.5054894784995425,0.531869472400122,0.5297256097560976,0.49576090271424217,0.0005636783049146571,0.07933564538327842,0.1259229056262837,-0.14595405460568145,0.022010786473401822,gru,core6,10,456
0.005440535489469767,0.00392428133636713,0.4925282098200671,0.5108264714852089,0.5076219512195121,0.49752973467520584,0.006305599849468185,0.5313976501958045,0.905656485611964,-0.10044472276058514,0.14710727319470607,gnn,core6,10,456
